Quarter,Time,Down,ToGo,Location,Detail,CLE,OAK,EPB,EPA
OT,5:23,2,10,RAI 19,Derek Carr pass complete short left to Marshawn Lynch for 7 yards (tackle by T.J. Carrie),42,42,-0.390,-0.160
OT,4:44,3,3,RAI 26,Derek Carr pass complete deep left to Jared Cook for 24 yards (tackle by Derrick Kindred),42,42,-0.160,2.260
OT,4:03,1,10,50,Marshawn Lynch right tackle for no gain (tackle by Myles Garrett),42,42,2.260,1.710
OT,3:24,2,10,50,Derek Carr pass complete short middle to Seth Roberts for 9 yards (tackle by Christian Kirksey),42,42,1.710,2.210
OT,3:08,3,1,CLE 41,Derek Carr middle for 2 yards (tackle by Trevon Coley),42,42,2.210,2.980
OT,2:22,1,10,CLE 39,Derek Carr pass complete short left to Amari Cooper for 14 yards (tackle by T.J. Carrie),42,42,2.980,3.910
OT,2:15,1,10,CLE 25,Marshawn Lynch right end for 11 yards (tackle by Damarious Randall),42,42,3.910,4.650
OT,2:00,1,10,CLE 14,Marshawn Lynch left tackle for 1 yard (tackle by Trevon Coley and Joe Schobert),42,42,4.650,4.160
OT,1:54,,,,Timeout #1 by Cleveland Browns,42,42,,
OT,1:54,2,9,CLE 13,Marshawn Lynch middle for 2 yards (tackle by Trevon Coley and T.J. Carrie),42,42,4.160,3.620
OT,1:50,,,,Timeout #2 by Cleveland Browns,42,42,,
OT,1:50,3,7,CLE 11,Matthew McCrane 29 yard field goal good,42,45,3.620,3.000
