Quarter,Time,Down,ToGo,Location,Detail,CLE,OAK,EPB,EPA
2,11:49,2,4,RAI 31,Doug Martin left tackle for 1 yard (tackle by Chris Smith),9,7,0.870,0.300
2,11:11,3,3,RAI 32,Penalty on Donald Penn: False Start 5 yards (no play),9,7,0.300,-0.360
2,11:11,3,8,RAI 27,Derek Carr pass incomplete deep left intended for Jordy Nelson (defended by Terrance Mitchell),9,7,-0.360,-1.570
2,11:05,4,8,RAI 27,Johnny Townsend punts 44 yards returned by Jabrill Peppers for 1 yard (tackle by Dwayne Harris),9,7,-1.570,-0.940
2,10:58,1,10,CLE 30,Carlos Hyde right end for 5 yards (tackle by Rashaan Melvin),9,7,0.940,1.070
2,10:25,2,5,CLE 35,Carlos Hyde right tackle for 1 yard (tackle by Rashaan Melvin and Marquel Lee),9,7,1.070,0.500
2,9:42,3,4,CLE 36,Baker Mayfield pass complete short right to Jarvis Landry for 15 yards (tackle by Derrick Johnson),9,7,0.500,2.320
2,9:08,1,10,RAI 49,Baker Mayfield pass complete deep middle to Darren Fells for 49 yards touchdown,15,7,2.320,7.000
2,9:00,,,,Timeout #1 by Oakland Raiders,15,7,,
2,9:00,,,RAI 2,Two Point Attempt: Duke Johnson left end conversion succeeds,17,7,0.000,1.000
2,9:00,,,CLE 35,Greg Joseph kicks off 65 yards touchback,17,7,0.000,-0.610
2,9:00,1,10,RAI 25,Derek Carr pass complete short left to Lee Smith for 6 yards (tackle by Jamie Collins and E.J. Gaines),17,7,0.610,0.870
2,8:25,2,4,RAI 31,Derek Carr pass complete short middle to Jared Cook for 16 yards (tackle by Damarious Randall),17,7,0.870,2.060
2,7:43,1,10,RAI 47,Derek Carr pass incomplete deep middle intended for Martavis Bryant,17,7,2.060,1.520
2,7:34,2,10,RAI 47,Marshawn Lynch left guard for 12 yards (tackle by Joe Schobert and Christian Kirksey),17,7,1.520,2.850
2,6:51,1,10,CLE 41,Derek Carr pass complete short left to Lee Smith for 10 yards (tackle by E.J. Gaines),17,7,2.850,3.510
2,6:06,1,10,CLE 31,Derek Carr pass complete short left to Marshawn Lynch for 17 yards (tackle by Jamie Collins and Joe Schobert),17,7,3.510,4.650
2,5:17,1,10,CLE 14,Doug Martin left tackle for 6 yards (tackle by Joe Schobert),17,7,4.650,5.090
2,4:34,2,4,CLE 8,Derek Carr pass complete short middle to Amari Cooper for 8 yards touchdown,17,13,5.090,7.000
2,4:30,,,CLE 15,Matthew McCrane kicks extra point good,17,14,0.000,0.000
2,4:30,,,RAI 35,Matthew McCrane kicks off 61 yards returned by Jabrill Peppers for 18 yards (tackle by Keith Smith),17,14,0.000,-0.410
2,4:24,1,10,CLE 22,Baker Mayfield pass incomplete short middle intended for Darren Fells,17,14,0.410,-0.130
