Quarter,Time,Down,ToGo,Location,Detail,NYJ,BUF,EPB,EPA
2,11:10,,,NYJ 35,Jason Myers kicks off 60 yards returned by Isaiah McKenzie for 24 yards (tackle by Darryl Roberts),6,14,0.000,-0.870
2,11:03,1,10,BUF 29,Josh Allen right guard for 21 yards,6,14,0.870,2.260
2,10:23,1,10,50,Chris Ivory right guard for 15 yards (tackle by Trumaine Johnson),6,14,2.260,3.250
2,9:45,1,10,NYJ 35,Chris Ivory left tackle for 3 yards (tackle by Mike Pennel),6,14,3.250,3.110
2,9:19,2,7,NYJ 32,Josh Allen pass complete short middle to Robert Foster for 12 yards (tackle by Buster Skrine),6,14,3.110,4.240
2,8:46,1,10,NYJ 20,Josh Allen left end for 5 yards,6,14,4.240,4.450
2,8:07,2,5,NYJ 15,Isaiah McKenzie right end for 2 yards (tackle by Trumaine Johnson),6,14,4.450,4.100
2,7:26,3,3,NYJ 13,Zay Jones pass incomplete short right intended for Josh Allen,6,14,4.100,2.670
2,7:18,4,3,NYJ 13,Stephen Hauschka 31 yard field goal good,6,17,2.670,3.000
2,7:14,,,BUF 35,Stephen Hauschka kicks off 59 yards returned by Andre Roberts for 86 yards (tackle by Denzel Rice),6,17,0.000,-5.370
2,7:00,1,8,BUF 8,Sam Darnold pass complete short left to Christopher Herndon for 1 yard (tackle by Rafael Bush and TreDavious White). Penalty on TreDavious White: Defensive Holding 4 yards (no play),6,17,5.370,6.280
2,6:35,1,4,BUF 4,Trenton Cannon middle for 4 yards touchdown,12,17,6.280,7.000
2,6:31,,,BUF 15,Jason Myers kicks extra point good,13,17,0.000,0.000
2,6:31,,,NYJ 35,Jason Myers kicks off 63 yards returned by Isaiah McKenzie for 23 yards (tackle by Rontez Miles),13,17,0.000,-0.610
2,6:25,1,10,BUF 25,Chris Ivory right end for 1 yard (tackle by Neville Hewitt),13,17,0.610,0.200
2,5:41,2,9,BUF 26,Josh Allen pass incomplete deep middle intended for Charles Clay. Penalty on Avery Williamson: Illegal Contact 5 yards (no play),13,17,0.200,1.000
2,5:36,1,10,BUF 31,Josh Allen pass complete short left to Isaiah McKenzie for 4 yards (tackle by Morris Claiborne). Penalty on Robert Foster: Offensive Pass Interference 10 yards (no play),13,17,1.000,0.340
2,5:14,1,20,BUF 21,Penalty on Dion Dawkins: False Start 5 yards (no play),13,17,0.340,-0.370
2,4:56,1,25,BUF 16,Josh Allen pass incomplete deep right intended for Zay Jones is intercepted by Trumaine Johnson at BUF-45,13,17,-0.370,-2.590
2,4:47,1,10,BUF 45,Sam Darnold pass incomplete short left intended for Jermaine Kearse (defended by Levi Wallace),13,17,2.590,2.040
2,4:41,2,10,BUF 45,Trenton Cannon right end for -3 yards (tackle by Tremaine Edmunds),13,17,2.040,0.960
2,4:05,3,13,BUF 48,Sam Darnold pass complete short right to Quincy Enunwa for 7 yards (tackle by Jordan Poyer and Tremaine Edmunds),13,17,0.960,0.530
2,3:19,4,6,BUF 41,Lac Edwards punts 32 yards fair catch by Micah Hyde,13,17,0.530,0.380
2,3:12,1,10,BUF 9,Chris Ivory left tackle for -2 yards (tackle by Buster Skrine),13,17,-0.380,-0.930
2,2:31,2,12,BUF 7,Penalty on Wyatt Teller: False Start 3 yards (no play),13,17,-0.930,-1.150
2,2:07,2,15,BUF 4,Chris Ivory middle for 2 yards (tackle by Henry Anderson and Neville Hewitt),13,17,-1.150,-1.770
2,2:00,3,13,BUF 6,Josh Allen pass complete deep left to Isaiah McKenzie for 19 yards (tackle by Kevin Pierre-Louis),13,17,-1.770,0.610
2,1:34,1,10,BUF 25,Josh Allen pass incomplete short right intended for Logan Thomas,13,17,0.610,0.060
2,1:26,2,10,BUF 25,Josh Allen pass incomplete deep middle intended for Isaiah McKenzie (defended by Darryl Roberts),13,17,0.060,-0.620
