Quarter,Time,Down,ToGo,Location,Detail,GNB,NYJ,EPB,EPA
2,7:36,1,10,GNB 33,Aaron Rodgers pass complete short middle to Marquez Valdes-Scantling for 12 yards (tackle by Avery Williamson),0,14,1.140,1.930
2,6:54,1,10,GNB 45,Jamaal Williams right tackle for 8 yards (tackle by Steve McLendon and Morris Claiborne),0,14,1.930,2.460
2,6:18,2,2,NYJ 47,Penalty on Lucas Patrick: False Start 5 yards (no play),0,14,2.460,1.790
2,5:56,2,7,GNB 48,Aaron Rodgers pass complete short right to Davante Adams for 3 yards (tackle by Trumaine Johnson and Avery Williamson),0,14,1.790,1.490
2,5:14,3,4,NYJ 49,Aaron Rodgers pass complete deep right to Jake Kumerow for 49 yards touchdown,6,14,1.490,7.000
2,5:06,,,NYJ 15,Mason Crosby kicks extra point good,7,14,0.000,0.000
2,5:06,,,GNB 35,Mason Crosby kicks off 64 yards returned by Andre Roberts for 99 yards touchdown,7,20,0.000,-7.000
2,4:54,,,GNB 15,Penalty on NYJ: Delay of Game 5 yards (no play),7,20,0.000,0.000
2,4:54,,,GNB 20,Jason Myers kicks extra point good,7,21,0.000,0.000
2,4:54,,,NYJ 35,Jason Myers kicks off 67 yards returned by J'Mon Moore for 37 yards (tackle by Jason Myers),7,21,0.000,-1.270
2,4:48,1,10,GNB 35,Aaron Rodgers pass complete short right to Davante Adams for 6 yards (tackle by Jordan Jenkins),7,21,1.270,1.530
2,4:14,2,4,GNB 41,Aaron Rodgers pass complete short left to Davante Adams for 1 yard (tackle by Buster Skrine),7,21,1.530,0.960
2,3:34,3,3,GNB 42,Aaron Rodgers pass complete deep right to Equanimeous St. Brown for 34 yards (tackle by Jamal Adams),7,21,0.960,3.970
2,2:50,1,10,NYJ 24,Penalty on NYJ: Defensive Too Many Men on Field 5 yards (no play),7,21,3.970,4.750
2,2:33,1,5,NYJ 19,Jamaal Williams right tackle for no gain (tackle by Neville Hewitt),7,21,4.750,4.120
2,2:00,2,5,NYJ 19,Aaron Rodgers pass incomplete. Penalty on Bryan Bulaga: Offensive Holding 10 yards (no play),7,21,4.120,2.760
2,1:54,2,15,NYJ 29,Aaron Rodgers pass complete short middle to Equanimeous St. Brown for 14 yards (tackle by Trumaine Johnson and Neville Hewitt). Penalty on Leonard Williams: Disqualification 8 yards,7,21,2.760,5.600
2,1:39,1,7,NYJ 7,Jamaal Williams left end for 7 yards touchdown,13,21,5.600,7.000
2,1:33,,,NYJ 15,Mason Crosby kicks extra point good,14,21,0.000,0.000
2,1:33,,,GNB 35,Mason Crosby kicks off 60 yards returned by Andre Roberts for 26 yards (tackle by Natrell Jamerson),14,21,0.000,-1.000
2,1:27,1,10,NYJ 31,Sam Darnold pass incomplete deep right intended for Robby Anderson,14,21,1.000,0.460
2,1:21,2,10,NYJ 31,Sam Darnold pass incomplete deep right intended for Elijah McGuire,14,21,0.460,-0.230
2,1:12,3,10,NYJ 31,Sam Darnold pass incomplete short right intended for Deontay Burnett (defended by Tony Brown),14,21,-0.230,-1.310
