Quarter,Time,Down,ToGo,Location,Detail,CIN,CLE,EPB,EPA
2,8:45,1,10,CLE 30,Jarvis Landry pass complete deep right to Breshad Perriman for 63 yards (tackle by Shawn Williams and Jessie Bates),0,7,0.940,5.600
2,7:53,1,7,CIN 7,Nick Chubb left tackle for 6 yards (tackle by Darqueze Dennard),0,7,5.600,5.910
2,7:18,2,1,CIN 1,Baker Mayfield pass complete short right to Darren Fells for 1 yard touchdown,0,13,5.910,7.000
2,7:12,,,CIN 15,Greg Joseph kicks extra point no good,0,13,0.000,-1.000
2,7:12,,,CLE 35,Greg Joseph kicks off 62 yards returned by Alex Erickson for 18 yards (tackle by Xavier Woodson-Luster),0,13,0.000,-0.340
2,7:06,1,10,CIN 21,Joe Mixon left guard for 15 yards (tackle by Damarious Randall and Emmanuel Ogbah),0,13,0.340,1.330
2,6:25,1,10,CIN 36,Joe Mixon left guard for 3 yards (tackle by Larry Ogunjobi),0,13,1.330,1.200
2,5:49,2,7,CIN 39,Jeff Driskel pass incomplete short right intended for Alex Erickson. Penalty on Denzel Ward: Defensive Pass Interference 10 yards (no play),0,13,1.200,2.190
2,5:46,1,10,CIN 49,Joe Mixon left guard for 1 yard (tackle by Emmanuel Ogbah and Myles Garrett),0,13,2.190,1.780
2,5:09,2,9,50,Jeff Driskel pass incomplete short right intended for John Ross,0,13,1.780,1.090
2,5:05,3,9,50,Jeff Driskel pass incomplete short right intended for John Ross,0,13,1.090,-0.060
2,5:02,4,9,50,Kevin Huber punts 50 yards touchback,0,13,-0.060,-0.280
2,4:55,1,10,CLE 20,Baker Mayfield pass complete short left to Darren Fells for 9 yards (tackle by Shawn Williams),0,13,0.280,0.950
2,4:18,2,1,CLE 29,Nick Chubb left tackle for 2 yards (tackle by Carlos Dunlap),0,13,0.950,1.000
2,3:38,1,10,CLE 31,Baker Mayfield pass complete short right to Breshad Perriman for 13 yards (tackle by Darius Phillips),0,13,1.000,1.860
2,3:09,1,10,CLE 44,Nick Chubb left guard for 20 yards (tackle by Darius Phillips),0,13,1.860,3.180
2,2:19,1,10,CIN 36,Duke Johnson left end for 7 yards (tackle by Sam Hubbard),0,13,3.180,3.580
2,2:00,2,3,CIN 29,Duke Johnson left guard for 5 yards (tackle by Christian Ringo),0,13,3.580,3.970
2,1:47,,,,Timeout #1 by Cincinnati Bengals,0,13,,
2,1:47,1,10,CIN 24,Baker Mayfield pass complete short right to Rashard Higgins for 6 yards (tackle by Darqueze Dennard),0,13,3.970,4.290
2,1:08,2,4,CIN 18,Nick Chubb right guard for -2 yards (tackle by Carlos Dunlap and Nick Vigil),0,13,4.290,3.270
2,0:28,3,6,CIN 20,Baker Mayfield pass complete short left to Duke Johnson for 1 yard (tackle by Darqueze Dennard),0,13,3.270,2.240
2,0:14,,,,Timeout #2 by Cincinnati Bengals,0,13,,
2,0:14,4,5,CIN 19,Greg Joseph 37 yard field goal good,0,16,2.240,3.000
2,0:10,,,CLE 35,Greg Joseph kicks off 65 yards touchback,0,16,0.000,-0.610
2,0:10,1,10,CIN 25,Jeff Driskel kneels for -1 yards,0,16,0.610,-0.070
3,15:00,,,CLE 35,Greg Joseph kicks off 65 yards touchback,0,16,0.000,-0.610
3,15:00,1,10,CIN 25,Jeff Driskel right end for 2 yards (tackle by Emmanuel Ogbah and Jabrill Peppers),0,16,0.610,0.330
3,14:21,2,8,CIN 27,Joe Mixon middle for -4 yards (tackle by Larry Ogunjobi),0,16,0.330,-0.890
3,13:54,3,12,CIN 23,Penalty on CIN: Illegal Substitution 5 yards (no play),0,16,-0.890,-1.720
3,13:34,3,17,CIN 18,Jeff Driskel pass complete deep middle to Cody Core for 27 yards (tackle by Damarious Randall and Jabrill Peppers),0,16,-1.720,1.930
3,12:55,1,10,CIN 45,Joe Mixon right guard for 4 yards (tackle by Myles Garrett),0,16,1.930,1.920
3,12:12,2,6,CIN 49,Jeff Driskel pass complete short right to Joe Mixon for 11 yards (tackle by Denzel Ward),0,16,1.920,2.920
3,11:41,1,10,CLE 40,Joe Mixon left end for -3 yards (tackle by Genard Avery),0,16,2.920,1.970
3,11:00,2,13,CLE 43,Penalty on Bobby Hart: False Start 5 yards (no play),0,16,1.970,1.290
3,10:37,2,18,CLE 48,Jeff Driskel for 2 yards (tackle by Jamie Collins),0,16,1.290,0.890
3,10:02,3,16,CLE 46,Jeff Driskel pass incomplete short right intended for John Ross (defended by Genard Avery),0,16,0.890,0.200
3,9:58,4,16,CLE 46,Kevin Huber punts 33 yards fair catch by Jabrill Peppers,0,16,0.200,0.320
3,9:51,1,10,CLE 13,Baker Mayfield pass complete short middle to Rashard Higgins for 5 yards (tackle by Jessie Bates),0,16,-0.320,-0.140
3,9:16,2,5,CLE 18,Nick Chubb right guard for 3 yards (tackle by Jessie Bates and Hardy Nickerson),0,16,-0.140,-0.470
3,8:27,3,2,CLE 21,Baker Mayfield pass complete deep right to Jarvis Landry for 19 yards (tackle by Darqueze Dennard),0,16,-0.470,1.600
3,7:55,1,10,CLE 40,Baker Mayfield pass complete short middle to Duke Johnson for 7 yards (tackle by Geno Atkins),0,16,1.600,2.000
3,7:11,2,3,CLE 47,Nick Chubb middle for 15 yards (tackle by Nick Vigil),0,16,2.000,3.050
3,6:26,1,10,CIN 38,Baker Mayfield pass complete short middle to Dontrell Hilliard for 15 yards (tackle by Hardy Nickerson),0,16,3.050,4.040
3,5:45,1,10,CIN 23,Nick Chubb right guard for 6 yards (tackle by Darius Phillips and Jessie Bates),0,16,4.040,4.380
3,5:03,2,4,CIN 17,Baker Mayfield pass incomplete deep right intended for Breshad Perriman (defended by Darius Phillips),0,16,4.380,3.660
3,4:59,3,4,CIN 17,Baker Mayfield pass complete short right to Rashard Higgins for 17 yards touchdown,0,22,3.660,7.000
3,4:53,,,CIN 15,Greg Joseph kicks extra point good,0,23,0.000,0.000
3,4:53,,,CLE 35,Greg Joseph kicks off 67 yards returned by Alex Erickson for 33 yards (tackle by Derrick Kindred),0,23,0.000,-1.000
3,4:46,1,10,CIN 31,Jeff Driskel pass complete short right to Cody Core for 9 yards (tackle by Denzel Ward),0,23,1.000,1.680
3,4:10,2,1,CIN 40,Joe Mixon right guard for 2 yards (tackle by T.J. Carrie),0,23,1.680,1.730
3,3:36,,,,Timeout #1 by Cincinnati Bengals,0,23,,
3,3:36,1,10,CIN 42,Jeff Driskel pass complete short middle to C.J. Uzomah for 9 yards (tackle by Derrick Kindred),0,23,1.730,2.400
3,3:04,2,1,CLE 49,Joe Mixon right guard for 1 yard (tackle by Trevon Coley),0,23,2.400,2.390
3,2:20,1,10,CLE 48,Jeff Driskel pass complete short middle to Alex Erickson for 7 yards (tackle by Damarious Randall),0,23,2.390,2.790
3,1:47,2,3,CLE 41,Joe Mixon left guard for 20 yards (tackle by Derrick Kindred),0,23,2.790,4.170
3,1:04,1,10,CLE 21,Jeff Driskel pass incomplete short left intended for C.J. Uzomah,0,23,4.170,3.630
3,1:00,2,10,CLE 21,Jeff Driskel pass complete short right to Giovani Bernard for -4 yards (tackle by Jabrill Peppers),0,23,3.630,2.410
3,0:17,3,14,CLE 25,Jeff Driskel sacked by Larry Ogunjobi for -8 yards,0,23,2.410,1.150
4,15:00,4,22,CLE 33,Randy Bullock 51 yard field goal good,3,23,1.150,3.000
4,14:55,,,CIN 35,Randy Bullock kicks off 65 yards touchback,3,23,0.000,-0.610
4,14:55,1,10,CLE 25,Nick Chubb right guard for 3 yards (tackle by Darqueze Dennard),3,23,0.610,0.470
4,14:16,2,7,CLE 28,Baker Mayfield pass complete short right to Darren Fells for 8 yards (tackle by Darius Phillips),3,23,0.470,1.330
4,13:37,1,10,CLE 36,Baker Mayfield pass incomplete deep right intended for Antonio Callaway,3,23,1.330,0.790
4,13:32,2,10,CLE 36,Baker Mayfield pass complete short right to Nick Chubb for 1 yard (tackle by Hardy Nickerson),3,23,0.790,0.230
4,12:48,3,9,CLE 37,Baker Mayfield middle for 10 yards (tackle by Shawn Williams and Christian Ringo),3,23,0.230,2.060
4,11:59,1,10,CLE 47,Baker Mayfield pass complete short middle to Jarvis Landry for 8 yards (tackle by Shawn Williams),3,23,2.060,2.600
4,11:15,2,2,CIN 45,Baker Mayfield pass complete short right to Duke Johnson for 17 yards,3,23,2.600,3.710
4,10:38,1,10,CIN 28,Baker Mayfield pass incomplete deep left intended for Breshad Perriman,3,23,3.710,3.170
4,10:33,2,10,CIN 28,Baker Mayfield pass complete short right to Nick Chubb for 2 yards (tackle by Jessie Bates),3,23,3.170,2.740
4,9:47,3,8,CIN 26,Baker Mayfield left end for 8 yards (tackle by Carlos Dunlap),3,23,2.740,4.370
,,,,,CIN challenged the first down ruling and the play was upheld.,,,,
4,9:07,1,10,CIN 18,Baker Mayfield pass incomplete deep left intended for David Njoku. Penalty on Greg Robinson: Offensive Holding 10 yards (no play),3,23,4.370,3.710
4,9:00,1,20,CIN 28,Baker Mayfield pass complete short right to Seth Devalve for 1 yard (tackle by Hardy Nickerson),3,23,3.710,2.610
4,8:17,2,19,CIN 27,Baker Mayfield pass incomplete short right intended for Rashard Higgins (defended by Carlos Dunlap),3,23,2.610,1.950
4,8:12,3,19,CIN 27,Baker Mayfield pass complete short left to Jarvis Landry for 14 yards (tackle by William Jackson),3,23,1.950,2.620
4,7:29,4,5,CIN 13,Greg Joseph 31 yard field goal good,3,26,2.620,3.000
4,7:26,,,CLE 35,Greg Joseph kicks off 66 yards returned by Alex Erickson for 26 yards (tackle by Juston Burris),3,26,0.000,-0.610
4,7:18,1,10,CIN 25,Joe Mixon right tackle for 6 yards (tackle by Myles Garrett),3,26,0.610,0.870
4,6:54,2,4,CIN 31,Jeff Driskel pass complete short left to Alex Erickson for 28 yards (tackle by T.J. Carrie),3,26,0.870,2.850
4,6:27,1,10,CLE 41,Joe Mixon middle for 16 yards (tackle by Genard Avery),3,26,2.850,3.910
4,5:58,1,10,CLE 25,Joe Mixon right guard for -1 yards (tackle by Jamie Collins),3,26,3.910,3.230
4,5:21,2,11,CLE 26,Jeff Driskel pass complete short right to C.J. Uzomah for 12 yards (tackle by Denzel Ward),3,26,3.230,4.650
4,4:56,1,10,CLE 14,Jeff Driskel pass complete short right to C.J. Uzomah for 14 yards touchdown,9,26,4.650,7.000
4,4:56,,,CLE 15,Randy Bullock kicks extra point good,10,26,0.000,0.000
4,4:56,,,CIN 35,Randy Bullock kicks off 51 yards returned by Jarvis Landry for 14 yards (tackle by Shawn Williams),10,26,0.000,-0.810
4,4:52,1,10,CLE 28,Nick Chubb right guard for 7 yards (tackle by Nick Vigil and Vincent Rey),10,26,0.810,1.210
4,4:07,2,3,CLE 35,Nick Chubb right guard for -1 yards (tackle by Jordan Willis),10,26,1.210,0.370
4,4:02,,,,Timeout #3 by Cincinnati Bengals,10,26,,
4,4:02,3,4,CLE 34,Baker Mayfield pass incomplete short right intended for Jarvis Landry,10,26,0.370,-1.110
4,3:59,4,4,CLE 34,Britton Colquitt punts blocked by Clayton Fejedelem recovered by Dontrell Hilliard,10,26,-1.110,-4.040
