Quarter,Time,Down,ToGo,Location,Detail,PIT,CLE,EPB,EPA
OT,1:44,1,10,CLE 32,Tyrod Taylor pass incomplete short middle intended for Jarvis Landry. Penalty on Jarvis Landry: Illegal Motion (Declined),21,21,1.070,0.530
OT,1:39,2,10,CLE 32,Tyrod Taylor pass incomplete short right intended for Duke Johnson,21,21,0.530,-0.160
OT,1:36,3,10,CLE 32,Tyrod Taylor pass incomplete deep left intended for Jarvis Landry,21,21,-0.160,-1.240
OT,1:28,4,10,CLE 32,Britton Colquitt punts 52 yards returned by Ryan Switzer for 10 yards (tackle by Orson Charles),21,21,-1.240,-0.670
OT,1:17,1,10,PIT 26,Ben Roethlisberger pass complete short middle to Antonio Brown for 12 yards (tackle by Denzel Ward),21,21,0.670,1.470
OT,0:52,1,10,PIT 38,Ben Roethlisberger pass incomplete short left intended for JuJu Smith-Schuster (defended by Damarious Randall),21,21,1.470,0.920
OT,0:48,2,10,PIT 38,Ben Roethlisberger sacked by Genard Avery for -5 yards. Ben Roethlisberger fumbles (forced by Genard Avery) recovered by Joe Schobert at PIT-40 and returned for 28 yards (tackle by Maurkice Pouncey). Penalty on Myles Garrett: Illegal Block Above the Waist 10 yards,21,21,0.920,-3.970
OT,0:36,1,10,PIT 24,Carlos Hyde left guard for -1 yards (tackle by Vince Williams and Jonathan Bostic),21,21,3.970,3.300
OT,0:14,2,11,PIT 25,Tyrod Taylor spiked the ball,21,21,3.300,2.610
OT,0:13,3,11,PIT 25,Zane Gonzalez 43 yard field goal no good blocked by T.J. Watt,21,21,2.610,-1.140
OT,0:09,1,10,PIT 33,Ben Roethlisberger pass incomplete short middle intended for Justin Hunter (defended by Joe Schobert),21,21,1.140,0.590
