Quarter,Time,Down,ToGo,Location,Detail,PIT,CLE,EPB,EPA
2,11:28,3,7,CLE 8,Ben Roethlisberger pass incomplete short left intended for Justin Hunter. Penalty on Myles Garrett: Roughing the Passer 4 yards (no play),0,0,3.760,6.280
2,11:19,1,4,CLE 4,James Conner right guard for 4 yards touchdown,6,0,6.280,7.000
2,11:16,,,CLE 15,Chris Boswell kicks extra point good,7,0,0.000,0.000
2,11:16,,,PIT 35,Chris Boswell kicks off 65 yards touchback,7,0,0.000,-0.610
2,11:16,1,10,CLE 25,Carlos Hyde right tackle for -1 yards (tackle by Morgan Burnett and Vince Williams),7,0,0.610,-0.070
2,10:42,2,11,CLE 24,Tyrod Taylor pass complete deep right to Jarvis Landry for 33 yards (tackle by Joe Haden),7,0,-0.070,2.720
2,10:03,1,10,PIT 43,Tyrod Taylor pass incomplete,7,0,2.720,2.180
2,9:57,2,10,PIT 43,Tyrod Taylor right guard for 1 yard (tackle by Cameron Heyward),7,0,2.180,1.620
2,9:15,3,9,PIT 42,Tyrod Taylor pass incomplete deep right intended for Jarvis Landry is intercepted by Sean Davis at PIT-26 and returned for 12 yards. Penalty on Terrell Edmunds: Defensive Holding 5 yards (no play),7,0,1.620,3.120
2,9:07,1,10,PIT 37,Carlos Hyde right guard for 5 yards (tackle by Vince Williams and Cameron Heyward),7,0,3.120,3.250
2,8:27,2,5,PIT 32,Nick Chubb right guard for -1 yards (tackle by Jonathan Bostic),7,0,3.250,2.410
2,7:46,3,6,PIT 33,Tyrod Taylor pass complete short middle to Jarvis Landry for 1 yard (tackle by Vince Williams and T.J. Watt). Penalty on Josh Gordon: Unnecessary Roughness 15 yards,7,0,2.410,0.130
2,7:39,4,20,PIT 47,Britton Colquitt punts 39 yards returned by Ryan Switzer for 4 yards (tackle by Denzel Rice),7,0,0.130,0.350
2,7:30,1,10,PIT 12,Ben Roethlisberger pass incomplete deep middle intended for Antonio Brown is intercepted by Damarious Randall at CLE-28,7,0,-0.350,-0.810
2,7:19,1,10,CLE 28,Tyrod Taylor left guard for 3 yards (tackle by Javon Hargrave),7,0,0.810,0.670
2,6:44,2,7,CLE 31,Tyrod Taylor pass complete short right to Darren Fells for 12 yards (tackle by Jonathan Bostic),7,0,0.670,1.800
2,5:50,1,10,CLE 43,Carlos Hyde right guard for 9 yards (tackle by Sean Davis),7,0,1.800,2.470
2,5:26,2,1,PIT 48,Penalty on David Njoku: False Start 5 yards (no play),7,0,2.470,1.790
2,5:06,2,6,CLE 47,Tyrod Taylor left guard for 7 yards (tackle by Sean Davis and Artie Burns),7,0,1.790,2.520
2,4:24,1,10,PIT 46,Carlos Hyde right tackle for no gain (tackle by Tyson Alualu and Jonathan Bostic),7,0,2.520,1.980
2,3:50,2,10,PIT 46,Tyrod Taylor sacked by Jonathan Bostic for -7 yards,7,0,1.980,0.370
2,3:14,3,17,CLE 47,Duke Johnson right guard for 7 yards (tackle by Vince Williams and Bud Dupree),7,0,0.370,0.200
2,2:43,4,10,PIT 46,Britton Colquitt punts 37 yards,7,0,0.200,0.380
2,2:33,1,10,PIT 9,Ben Roethlisberger pass complete short left to Antonio Brown for 11 yards (tackle by Terrance Mitchell),7,0,-0.380,0.280
2,2:06,1,10,PIT 20,Ben Roethlisberger pass complete short right to James Conner for 15 yards (tackle by Joe Schobert and Jabrill Peppers),7,0,0.280,1.270
2,1:58,1,10,PIT 35,James Conner right guard for 12 yards (tackle by Jabrill Peppers),7,0,1.270,2.060
2,1:25,1,10,PIT 47,James Conner left guard for 8 yards (tackle by Briean Boddy-Calhoun),7,0,2.060,2.600
2,1:01,2,2,CLE 45,Ben Roethlisberger pass complete short left to JuJu Smith-Schuster for 8 yards (tackle by Jamie Collins),7,0,2.600,3.120
2,0:55,,,,Timeout #2 by Pittsburgh Steelers,7,0,,
2,0:55,1,10,CLE 37,Ben Roethlisberger pass incomplete deep left intended for Antonio Brown,7,0,3.120,2.570
2,0:51,2,10,CLE 37,Ben Roethlisberger pass incomplete short right intended for Jesse James is intercepted by Denzel Ward at CLE-29 and returned for 26 yards,7,0,2.570,-2.590
2,0:42,1,10,PIT 45,Duke Johnson left end for -6 yards (tackle by Bud Dupree),7,0,2.590,1.230
2,0:37,,,,Timeout #1 by Cleveland Browns,7,0,,
2,0:37,2,16,CLE 49,Tyrod Taylor sacked by Bud Dupree for -8 yards. Tyrod Taylor fumbles (forced by Bud Dupree) recovered by Joel Bitonio at CLE-41,7,0,1.230,-0.490
3,15:00,,,PIT 35,Chris Boswell kicks off 65 yards returned by Jabrill Peppers for 24 yards (tackle by Tyler Matakevich). Penalty on Denzel Rice: Illegal Block Above the Waist 10 yards,7,0,0.000,0.280
3,14:54,1,10,CLE 14,Tyrod Taylor sacked by T.J. Watt for -10 yards,7,0,-0.280,-1.510
3,14:16,2,20,CLE 4,Carlos Hyde right tackle for 4 yards (tackle by Vince Williams and Cameron Heyward). Penalty on Javon Hargrave: Defensive Holding 5 yards,7,0,-1.510,-0.320
3,13:50,1,10,CLE 13,Carlos Hyde left tackle for 3 yards (tackle by Javon Hargrave). Penalty on Artie Burns: Unsportsmanlike Conduct 15 yards Penalty on Artie Burns: Unnecessary Roughness (Declined),7,0,-0.320,1.000
3,13:42,1,10,CLE 31,Carlos Hyde right guard for 9 yards (tackle by Joe Haden),7,0,1.000,1.680
3,12:58,2,1,CLE 40,Carlos Hyde right tackle for 12 yards (tackle by Sean Davis),7,0,1.680,2.390
3,12:28,1,10,PIT 48,Carlos Hyde right guard for 6 yards (tackle by Cameron Heyward),7,0,2.390,2.660
3,11:56,2,4,PIT 42,Nick Chubb right guard for 5 yards (tackle by Vince Williams and Jonathan Bostic),7,0,2.660,3.120
3,11:21,1,10,PIT 37,Nick Chubb right tackle for 17 yards (tackle by T.J. Watt),7,0,3.120,4.240
3,10:52,1,10,PIT 20,Duke Johnson right guard for no gain (tackle by Jonathan Bostic),7,0,4.240,3.690
3,10:15,2,10,PIT 20,Tyrod Taylor left guard for 20 yards touchdown,7,6,3.690,7.000
3,10:05,,,PIT 15,Zane Gonzalez kicks extra point good,7,7,0.000,0.000
3,10:05,,,CLE 35,Zane Gonzalez kicks off 67 yards returned by Ryan Switzer for 28 yards (tackle by Denzel Rice),7,7,0.000,-0.670
3,9:59,1,10,PIT 26,Ben Roethlisberger pass complete short right to JuJu Smith-Schuster for 67 yards (tackle by Damarious Randall),7,7,0.670,5.600
3,9:21,1,7,CLE 7,James Conner right tackle for 5 yards (tackle by Larry Ogunjobi),7,7,5.600,5.720
3,8:39,2,2,CLE 2,James Conner right guard for 2 yards. Penalty on Maurkice Pouncey: Offensive Holding 10 yards (no play),7,7,5.720,3.860
3,8:35,2,12,CLE 12,Ben Roethlisberger pass complete short left to Justin Hunter for 12 yards. Penalty on Marcus Gilbert: Illegal Use of Hands 10 yards (no play),7,7,3.860,2.730
3,8:29,2,22,CLE 22,Ben Roethlisberger pass complete deep right to Antonio Brown for 22 yards touchdown,13,7,2.730,7.000
3,8:24,,,CLE 15,Chris Boswell kicks extra point good,14,7,0.000,0.000
3,8:24,,,PIT 35,Chris Boswell kicks off 63 yards returned by T.J. Carrie for 14 yards (tackle by Tyler Matakevich). Penalty on Orson Charles: Illegal Block Above the Waist 8 yards,14,7,0.000,0.380
3,8:19,1,10,CLE 8,Tyrod Taylor pass complete short right to David Njoku for 8 yards (tackle by T.J. Watt),14,7,-0.380,-0.090
3,8:04,2,2,CLE 16,Carlos Hyde left guard for 5 yards (tackle by Stephon Tuitt),14,7,-0.090,0.340
3,7:36,1,10,CLE 21,Tyrod Taylor pass incomplete deep right intended for Jarvis Landry,14,7,0.340,-0.200
3,7:31,2,10,CLE 21,Carlos Hyde right tackle for -2 yards (tackle by Vince Williams and T.J. Watt),14,7,-0.200,-1.220
3,6:53,3,12,CLE 19,Tyrod Taylor sacked by T.J. Watt for -5 yards,14,7,-1.220,-2.470
3,6:18,4,17,CLE 14,Britton Colquitt punts 45 yards returned by Ryan Switzer for 20 yards (tackle by Derrick Kindred),14,7,-2.470,-2.980
3,6:08,1,10,CLE 39,James Conner left guard for 17 yards (tackle by Denzel Ward and Jabrill Peppers),14,7,2.980,4.110
3,5:29,1,10,CLE 22,James Conner left guard for 22 yards touchdown,20,7,4.110,7.000
3,5:23,,,CLE 15,Chris Boswell kicks extra point good. Penalty on CLE: Leverage 15 yards,21,7,0.000,0.000
3,5:23,,,50,Chris Boswell kicks off 47 yards returned by Antonio Callaway for 8 yards (tackle by Tyler Matakevich),21,7,0.000,0.370
3,5:19,1,10,CLE 11,Tyrod Taylor pass incomplete short left intended for Duke Johnson,21,7,-0.370,-0.780
3,5:16,2,10,CLE 11,Carlos Hyde left guard for 3 yards (tackle by Stephon Tuitt),21,7,-0.780,-1.070
3,4:41,3,7,CLE 14,Tyrod Taylor pass complete deep left to Jarvis Landry for 39 yards (tackle by Mike Hilton),21,7,-1.070,2.460
3,3:50,,,,Timeout #1 by Cleveland Browns,21,7,,
3,3:50,1,10,PIT 47,Tyrod Taylor pass incomplete deep middle intended for Josh Gordon (defended by Joe Haden),21,7,2.460,1.910
3,3:42,2,10,PIT 47,Tyrod Taylor pass incomplete short right intended for David Njoku,21,7,1.910,1.220
3,3:40,3,10,PIT 47,Tyrod Taylor pass incomplete deep right intended for David Njoku (defended by Terrell Edmunds),21,7,1.220,0.130
3,3:35,4,10,PIT 47,Britton Colquitt punts 33 yards fair catch by Ryan Switzer,21,7,0.130,0.280
3,3:27,1,10,PIT 14,James Conner right guard for 4 yards (tackle by Trevon Coley),21,7,-0.280,-0.210
3,2:49,2,6,PIT 18,James Conner right tackle for 2 yards (tackle by Larry Ogunjobi and Jamie Collins),21,7,-0.210,-0.680
3,2:06,3,4,PIT 20,Ben Roethlisberger pass complete short left to Justin Hunter for 6 yards (tackle by Terrance Mitchell),21,7,-0.680,0.670
3,1:33,1,10,PIT 26,James Conner right tackle for 5 yards (tackle by Briean Boddy-Calhoun and Joe Schobert),21,7,0.670,0.810
3,0:54,2,5,PIT 31,James Conner right tackle for 1 yard (tackle by Genard Avery),21,7,0.810,0.230
