Quarter,Time,Down,ToGo,Location,Detail,SEA,DEN,EPB,EPA
2,12:38,1,10,DEN 37,Phillip Lindsay middle for 9 yards (tackle by Tre Flowers),10,7,1.400,2.070
2,12:00,2,1,DEN 46,Phillip Lindsay right tackle for 6 yards (tackle by Shaquill Griffin),10,7,2.070,2.390
2,11:20,1,10,SEA 48,Case Keenum pass complete short right to Emmanuel Sanders for 5 yards (tackle by Bobby Wagner),10,7,2.390,2.520
2,10:40,2,5,SEA 43,Case Keenum pass complete deep middle to Emmanuel Sanders for 43 yards touchdown,10,13,2.520,7.000
2,10:29,,,SEA 15,Brandon McManus kicks extra point good,10,14,0.000,0.000
2,10:29,,,DEN 35,Brandon McManus kicks off 65 yards touchback,10,14,0.000,-0.610
2,10:29,1,10,SEA 25,Russell Wilson pass complete short left to Chris Carson for 44 yards (tackle by Justin Simmons). Penalty on J.R. Sweezy: Offensive Holding 10 yards (no play),10,14,0.610,-0.410
2,9:55,1,20,SEA 15,Penalty on Germain Ifedi: False Start 5 yards (no play),10,14,-0.410,-0.950
2,9:37,1,25,SEA 10,Russell Wilson pass complete short left to Rashaad Penny for 6 yards (tackle by Todd Davis),10,14,-0.950,-1.290
2,8:58,2,19,SEA 16,Russell Wilson pass complete short middle to Rashaad Penny for 10 yards (tackle by Justin Simmons),10,14,-1.290,-0.490
2,8:14,3,9,SEA 26,Russell Wilson pass incomplete short left intended for David Moore,10,14,-0.490,-1.630
2,8:08,4,9,SEA 26,Michael Dickson punts 46 yards returned by Adam Jones for 9 yards (tackle by Akeem King),10,14,-1.630,-1.400
2,7:58,1,10,DEN 37,Case Keenum pass complete short left to Jeff Heuerman for 15 yards,10,14,1.400,2.390
2,7:31,1,10,SEA 48,Phillip Lindsay middle for 11 yards (tackle by Quinton Jefferson),10,14,2.390,3.120
2,6:50,1,10,SEA 37,Phillip Lindsay middle for 5 yards (tackle by Bobby Wagner),10,14,3.120,3.250
2,6:16,2,5,SEA 32,Phillip Lindsay middle for -1 yards (tackle by Bobby Wagner),10,14,3.250,2.410
2,5:34,3,6,SEA 33,Case Keenum pass incomplete deep left intended for Courtland Sutton,10,14,2.410,1.160
2,5:29,4,6,SEA 33,Brandon McManus 51 yard field goal good,10,17,1.160,3.000
2,5:25,,,DEN 35,Brandon McManus kicks off 65 yards touchback,10,17,0.000,-0.610
2,5:25,1,10,SEA 25,Russell Wilson pass complete short right to Tyler Lockett for 2 yards (tackle by Bradley Roby). Penalty on Domata Peko: Unnecessary Roughness 15 yards,10,17,0.610,1.730
2,4:58,1,10,SEA 42,Chris Carson middle for 2 yards (tackle by Todd Davis and Domata Peko),10,17,1.730,1.460
2,4:19,2,8,SEA 44,Russell Wilson pass complete short middle to Will Dissly for 24 yards (tackle by Darian Stewart and Justin Simmons),10,17,1.460,3.450
2,3:39,1,10,DEN 32,Russell Wilson sacked by Von Miller for -6 yards,10,17,3.450,2.090
2,2:56,2,16,DEN 38,Russell Wilson pass complete short right to Rashaad Penny for 4 yards (tackle by Todd Davis),10,17,2.090,1.950
2,2:21,3,12,DEN 34,Russell Wilson sacked by Von Miller for -5 yards. Russell Wilson fumbles (forced by Von Miller) recovered by Ethan Pocic at DEN-33,10,17,1.950,1.150
2,2:00,4,11,DEN 33,Sebastian Janikowski 51 yard field goal no good. Penalty on Tramaine Brock: Defensive Offside 5 yards (no play),10,17,1.150,1.610
2,1:56,4,6,DEN 28,Sebastian Janikowski 46 yard field goal no good,10,17,1.610,-1.330
2,1:51,1,10,DEN 36,Case Keenum pass complete deep left to Emmanuel Sanders for 31 yards (tackle by Tre Flowers),10,17,1.330,3.380
2,1:35,,,,Timeout #2 by Seattle Seahawks,10,17,,
2,1:35,1,10,SEA 33,Case Keenum pass complete short left to Devontae Booker for 7 yards (tackle by Tom Johnson),10,17,3.380,3.780
2,1:14,2,3,SEA 26,Case Keenum pass incomplete short left intended for Jake Butt is intercepted by Bradley McDougald at SEA-18,10,17,3.780,-0.040
2,1:09,1,10,SEA 18,Russell Wilson pass complete short middle to Chris Carson for 14 yards (tackle by Adam Jones),10,17,0.040,1.070
2,0:44,1,10,SEA 32,Russell Wilson pass complete short middle to Chris Carson for 9 yards (tackle by Will Parks and Brandon Marshall),10,17,1.070,1.740
2,0:37,,,,Timeout #3 by Seattle Seahawks,10,17,,
2,0:37,2,1,SEA 41,Russell Wilson sacked by Shaquil Barrett for -22 yards,10,17,1.740,-2.010
3,15:00,,,DEN 35,Brandon McManus kicks off 58 yards returned by Tyler Lockett for 9 yards (tackle by Joseph Jones),10,17,0.000,0.140
3,14:55,1,10,SEA 16,Rashaad Penny left tackle for 3 yards (tackle by Todd Davis and Brandon Marshall),10,17,-0.140,-0.180
3,14:22,2,7,SEA 19,Russell Wilson pass complete short right to Tyler Lockett for 6 yards (tackle by Von Miller),10,17,-0.180,-0.200
3,13:44,3,1,SEA 25,Russell Wilson pass incomplete deep right intended for Nick Vannett,10,17,-0.200,-1.700
3,13:38,4,1,SEA 25,Michael Dickson punts 69 yards out of bounds,10,17,-1.700,0.380
3,13:30,1,10,DEN 6,Case Keenum pass complete short left to Emmanuel Sanders for 5 yards (tackle by Bradley McDougald),10,17,-0.380,-0.420
3,12:48,2,5,DEN 11,Royce Freeman right end for 2 yards (tackle by Jarran Reed),10,17,-0.420,-0.600
3,12:05,3,3,DEN 13,Case Keenum pass complete short left to Demaryius Thomas for 8 yards (tackle by Tre Flowers),10,17,-0.600,0.340
3,11:42,1,10,DEN 21,Case Keenum pass complete short left to Demaryius Thomas for 10 yards (tackle by Earl Thomas),10,17,0.340,1.000
3,11:19,1,10,DEN 31,Devontae Booker left guard for 2 yards (tackle by Quinton Jefferson),10,17,1.000,0.730
3,10:48,2,8,DEN 33,Devontae Booker right tackle for 2 yards (tackle by Jarran Reed),10,17,0.730,0.300
3,10:09,3,6,DEN 35,Penalty on Emmanuel Sanders: False Start 5 yards (no play),10,17,0.300,-0.360
3,9:47,3,11,DEN 30,Case Keenum sacked by Frank Clark for -5 yards,10,17,-0.360,-1.700
3,9:14,4,16,DEN 25,Penalty on Barkevious Mingo: Encroachment 5 yards (no play),10,17,-1.700,-1.370
3,9:06,4,11,DEN 30,Marquette King punts 53 yards returned by Tyler Lockett for 9 yards (tackle by Joseph Jones),10,17,-1.370,-0.670
3,8:55,1,10,SEA 26,Russell Wilson pass complete short right to Tre Madden for 7 yards (tackle by Justin Simmons),10,17,0.670,1.070
