Quarter,Time,Down,ToGo,Location,Detail,NYJ,DET,EPB,EPA
2,10:15,3,15,NYJ 38,Matthew Stafford pass complete short right to Golden Tate for 1 yard (tackle by J.J. Wilcox),10,7,1.490,0.790
2,9:28,4,14,NYJ 37,Matt Prater 55 yard field goal no good,10,7,0.790,-1.930
2,9:24,1,10,NYJ 45,Sam Darnold pass complete short right to Neal Sterling for 4 yards (tackle by Quandre Diggs),10,7,1.930,1.920
2,8:41,2,6,NYJ 49,Sam Darnold pass incomplete short middle intended for Quincy Enunwa,10,7,1.920,1.220
2,8:37,3,6,NYJ 49,Sam Darnold pass complete short right to Quincy Enunwa for 11 yards (tackle by Glover Quin),10,7,1.220,2.920
2,7:51,,,,Timeout #2 by New York Jets,10,7,,
2,7:51,1,10,DET 40,Isaiah Crowell middle for 4 yards (tackle by Da'Shawn Hand),10,7,2.920,2.910
2,7:06,2,6,DET 36,Sam Darnold pass complete short left to Quincy Enunwa for 5 yards (tackle by Nevin Lawson),10,7,2.910,2.870
2,6:19,3,1,DET 31,Robby Anderson right end for -9 yards (tackle by Jamal Agnew),10,7,2.870,0.590
2,5:30,4,10,DET 40,Lac Edwards punts 34 yards,10,7,0.590,0.380
2,5:20,1,10,DET 6,LeGarrette Blount left tackle for no gain (tackle by Steve McLendon and Brandon Copeland),10,7,-0.380,-0.780
2,4:43,2,10,DET 6,Matthew Stafford pass complete short left to Marvin Jones for 11 yards (tackle by Jamal Adams),10,7,-0.780,-0.060
2,4:17,1,10,DET 17,LeGarrette Blount middle for 3 yards (tackle by Jamal Adams),10,7,-0.060,-0.060
2,3:36,2,7,DET 20,Matthew Stafford pass incomplete short right intended for Golden Tate,10,7,-0.060,-0.870
2,3:32,3,7,DET 20,Matthew Stafford pass incomplete deep left intended for Kenny Golladay (defended by Jamal Adams),10,7,-0.870,-2.030
2,3:26,4,7,DET 20,Sam Martin punts 45 yards returned by Andre Roberts for 16 yards (tackle by Tavon Wilson),10,7,-2.030,-2.320
2,3:13,1,10,DET 49,Penalty on Kelvin Beachum: False Start 5 yards (no play),10,7,2.320,1.990
2,3:13,,,,Timeout #3 by New York Jets,10,7,,
2,3:13,1,15,NYJ 46,Sam Darnold pass complete short left to Neal Sterling for 11 yards (tackle by Christian Jones),10,7,1.990,2.590
2,2:29,2,4,DET 43,Bilal Powell middle for 2 yards (tackle by Kerry Hyder),10,7,2.590,2.150
2,2:00,3,2,DET 41,Sam Darnold pass complete deep left to Robby Anderson for 41 yards touchdown,16,7,2.150,7.000
2,1:51,,,DET 15,Jason Myers kicks extra point good,17,7,0.000,0.000
2,1:51,,,NYJ 35,Jason Myers kicks off 65 yards touchback,17,7,0.000,-0.610
2,1:51,1,10,DET 25,Matthew Stafford for 6 yards (tackle by Buster Skrine),17,7,0.610,0.870
2,1:43,2,4,DET 31,Matthew Stafford pass complete short right to Kenny Golladay for 10 yards (tackle by Darryl Roberts),17,7,0.870,1.660
2,1:39,1,10,DET 41,Matthew Stafford pass complete short middle to Kenny Golladay for 11 yards (tackle by Doug Middleton),17,7,1.660,2.390
2,1:16,1,10,NYJ 48,Matthew Stafford pass incomplete deep middle intended for Marvin Jones (defended by Morris Claiborne). Penalty on Jordan Jenkins: Defensive Offside 5 yards (no play),17,7,2.390,3.120
2,1:11,1,5,NYJ 43,Matthew Stafford pass complete short right to Kenny Golladay for 16 yards (tackle by Doug Middleton),17,7,3.120,3.780
2,1:06,1,10,NYJ 27,Matthew Stafford pass complete short middle to Golden Tate for 11 yards (tackle by Buster Skrine),17,7,3.780,4.510
2,0:45,1,10,NYJ 16,Matthew Stafford pass complete short left to Theo Riddick for 3 yards (tackle by Parry Nickerson). Penalty on Parry Nickerson: Taunting 7 yards,17,7,4.510,5.830
2,0:37,1,6,NYJ 6,Matthew Stafford pass incomplete short right intended for Kenny Golladay,17,7,5.830,4.950
2,0:30,2,6,NYJ 6,Theo Riddick right tackle for 3 yards (tackle by Jamal Adams),17,7,4.950,4.720
2,0:21,,,,Timeout #2 by Detroit Lions,17,7,,
2,0:21,3,3,NYJ 3,Matthew Stafford pass incomplete short right intended for Golden Tate,17,7,4.720,3.040
2,0:15,4,3,NYJ 3,Matt Prater 21 yard field goal good,17,10,3.040,3.000
2,0:11,,,DET 35,Sam Martin kicks off 65 yards touchback,17,10,0.000,-0.610
2,0:11,1,10,NYJ 25,Sam Darnold kneels for -1 yards,17,10,0.610,-0.070
3,15:00,,,NYJ 35,Jason Myers kicks off 65 yards touchback,17,10,0.000,-0.610
3,15:00,1,10,DET 25,Penalty on Michael Roberts: False Start 5 yards (no play),17,10,0.610,0.280
3,15:00,1,15,DET 20,Matthew Stafford pass complete deep left to Golden Tate for 26 yards,17,10,0.280,1.990
3,14:40,1,10,DET 46,Matthew Stafford pass complete short middle to Golden Tate for 4 yards (tackle by Darron Lee),17,10,1.990,1.990
3,14:04,2,6,50,Matthew Stafford pass complete short left to Kenny Golladay for 26 yards (tackle by Trumaine Johnson),17,10,1.990,3.970
3,13:17,1,10,NYJ 24,Matthew Stafford pass complete short middle to Golden Tate for 24 yards touchdown,17,16,3.970,7.000
