Quarter,Time,Down,ToGo,Location,Detail,TEN,MIA,EPB,EPA
2,9:54,3,2,OTI 33,Penalty on Robert Quinn: Neutral Zone Infraction 5 yards (no play),3,7,0.430,1.470
2,9:36,1,10,OTI 38,Dion Lewis right tackle for 1 yard (tackle by T.J. McDonald and Vincent Taylor),3,7,1.470,1.060
2,9:07,2,9,OTI 39,Marcus Mariota right end for 6 yards (tackle by T.J. McDonald and Charles Harris),3,7,1.060,1.160
2,8:22,3,3,OTI 45,Marcus Mariota pass incomplete deep left intended for Corey Davis,3,7,1.160,-0.390
2,8:17,4,3,OTI 45,Brett Kern punts 40 yards out of bounds,3,7,-0.390,0.220
2,8:11,1,10,MIA 15,Kenyan Drake middle for 8 yards (tackle by Jayon Brown),3,7,-0.220,0.480
2,7:43,2,2,MIA 23,Kenyan Drake right end for 8 yards (tackle by Jayon Brown). Penalty on Ja'Wuan James: Offensive Holding 10 yards (no play),3,7,0.480,-0.920
2,7:16,2,12,MIA 13,Ryan Tannehill pass complete short left to Jakeem Grant for 13 yards (tackle by Jayon Brown and Kenny Vaccaro),3,7,-0.920,0.670
2,6:45,1,10,MIA 26,Kenyan Drake left tackle for 16 yards (tackle by Kevin Byard),3,7,0.670,1.730
2,6:10,1,10,MIA 42,Frank Gore middle for 8 yards (tackle by Wesley Woodyard and Logan Ryan),3,7,1.730,2.270
2,5:27,2,2,50,Frank Gore middle for 3 yards (tackle by Bennie Logan and William Compton),3,7,2.270,2.460
2,4:53,1,10,OTI 47,Albert Wilson right tackle for 2 yards (tackle by Wesley Woodyard),3,7,2.460,2.180
2,4:15,2,8,OTI 45,Ryan Tannehill pass complete short right to Albert Wilson for 21 yards (tackle by Kenny Vaccaro),3,7,2.180,3.970
2,3:32,1,10,OTI 24,Kenyan Drake left end for -1 yards (tackle by Malcolm Butler),3,7,3.970,3.300
2,3:02,2,11,OTI 25,Ryan Tannehill left end for 2 yards (tackle by DaQuan Jones and Aaron Wallace),3,7,3.300,2.870
2,2:21,3,9,OTI 23,Ryan Tannehill pass complete short middle to Danny Amendola for 8 yards (tackle by Logan Ryan),3,7,2.870,2.590
2,2:00,4,1,OTI 15,Ryan Tannehill pass incomplete short right intended for Kenyan Drake,3,7,2.590,0.220
2,1:54,1,10,OTI 15,Marcus Mariota pass incomplete short left intended for Corey Davis,3,7,-0.220,-0.710
2,1:52,2,10,OTI 15,Dion Lewis middle for 9 yards (tackle by Kiko Alonso),3,7,-0.710,-0.270
2,1:09,3,1,OTI 24,Marcus Mariota middle for 2 yards (tackle by Akeem Spence),3,7,-0.270,0.670
2,0:54,1,10,OTI 26,Marcus Mariota pass incomplete short middle intended for Delanie Walker. Penalty on Taylor Lewan: Face Mask (15 Yards) 13 yards (no play),3,7,0.670,-0.670
2,0:49,1,23,OTI 13,Dion Lewis middle for 4 yards (tackle by Minkah Fitzpatrick and Raekwon McMillan),3,7,-0.670,-1.220
2,0:40,,,,Timeout #1 by Miami Dolphins,3,7,,
2,0:40,2,19,OTI 17,Dion Lewis middle for 6 yards (tackle by Akeem Spence),3,7,-1.220,-0.960
2,0:35,,,,Timeout #2 by Miami Dolphins,3,7,,
2,0:35,3,13,OTI 23,Dion Lewis middle for 4 yards (tackle by Kiko Alonso and Cameron Wake),3,7,-0.960,-1.570
2,0:30,,,,Timeout #3 by Miami Dolphins,3,7,,
2,0:30,4,9,OTI 27,Brett Kern punts 55 yards returned by Jakeem Grant for -1 yards (tackle by David Fluellen),3,7,-1.570,0.060
2,0:18,1,10,MIA 17,Ryan Tannehill kneels for -1 yards,3,7,-0.060,-0.730
3,15:00,,,OTI 35,--,3,7,0.000,-0.610
3,15:00,1,10,MIA 25,Frank Gore left guard for 3 yards (tackle by Wesley Woodyard and Jurrell Casey),3,7,0.610,0.470
3,14:30,2,7,MIA 28,Ryan Tannehill pass complete short middle to Kenyan Drake for 4 yards (tackle by Wesley Woodyard),3,7,0.470,0.300
3,13:51,3,3,MIA 32,Ryan Tannehill pass incomplete deep left intended for Danny Amendola,3,7,0.300,-1.240
3,13:45,4,3,MIA 32,Matt Haack punts 45 yards returned by Adoree' Jackson for 26 yards (tackle by Brandon Bolden),3,7,-1.240,-2.190
3,13:32,1,10,OTI 49,Derrick Henry right guard for 3 yards (tackle by Andre Branch),3,7,2.190,2.050
3,12:55,2,7,MIA 48,Derrick Henry right guard for 3 yards (tackle by Vincent Taylor and Jerome Baker),3,7,2.050,1.750
3,12:14,3,4,MIA 45,Blaine Gabbert pass incomplete short right intended for Delanie Walker,3,7,1.750,0.270
3,12:10,4,4,MIA 45,Brett Kern punts 35 yards fair catch by Danny Amendola,3,7,0.270,0.380
3,12:05,1,10,MIA 10,Kenyan Drake right end for 5 yards (tackle by Jayon Brown),3,7,-0.380,-0.350
3,11:29,2,5,MIA 15,Kenyan Drake left end for 4 yards (tackle by Wesley Woodyard and Jayon Brown),3,7,-0.350,-0.370
3,10:50,3,1,MIA 19,Kenyan Drake middle for -1 yards (tackle by Jurrell Casey and Wesley Woodyard),3,7,-0.370,-2.240
3,10:09,4,2,MIA 18,Matt Haack punts 65 yards returned by Rishard Matthews for 18 yards (tackle by Walt Aikens),3,7,-2.240,-1.270
3,9:58,1,10,OTI 35,Marcus Mariota for 4 yards (tackle by Reshad Jones),3,7,1.270,1.260
