Quarter,Time,Down,ToGo,Location,Detail,BAL,CLE,EPB,EPA
2,9:34,2,2,CLE 2,Joe Flacco pass incomplete short right intended for Nick Boyle is intercepted by Denzel Ward at CLE-3,3,0,5.720,0.380
2,9:28,1,10,CLE 3,Baker Mayfield pass complete deep left to Seth Devalve for 26 yards (tackle by C.J. Mosley),3,0,-0.380,0.870
2,8:48,1,10,CLE 29,Baker Mayfield pass incomplete short right intended for David Njoku (defended by Anthony Levine),3,0,0.870,0.330
2,8:45,2,10,CLE 29,Baker Mayfield for 9 yards (tackle by Marlon Humphrey). Penalty on Chris Hubbard: Offensive Holding 10 yards (no play),3,0,0.330,-1.080
2,8:17,2,20,CLE 19,Baker Mayfield pass incomplete deep left intended for Carlos Hyde (defended by Patrick Onwuasor),3,0,-1.080,-1.790
2,8:11,3,20,CLE 19,Baker Mayfield pass complete short right to Jarvis Landry for 10 yards (tackle by Tony Jefferson),3,0,-1.790,-1.440
2,7:38,4,10,CLE 29,Britton Colquitt punts 43 yards returned by Tim White for 15 yards (tackle by Charley Hughlett). Tim White fumbles (forced by Charley Hughlett) recovered by Kenny Young at BAL-42 (tackle by Jeremiah McKinnon),3,0,-1.440,-1.730
2,7:28,1,10,RAV 42,Alex Collins left tackle for -2 yards (tackle by Trevon Coley),3,0,1.730,0.920
2,6:50,2,12,RAV 40,Joe Flacco pass complete short left to Maxx Williams for 7 yards (tackle by Jabrill Peppers),3,0,0.920,1.160
2,6:18,3,5,RAV 47,Joe Flacco pass incomplete deep left intended for Mark Andrews (defended by Joe Schobert),3,0,1.160,-0.260
2,6:13,4,5,RAV 47,Sam Koch punts 43 yards fair catch by Jabrill Peppers,3,0,-0.260,0.380
2,6:06,1,10,CLE 10,Carlos Hyde right guard for -1 yards (tackle by Brent Urban),3,0,-0.380,-0.850
2,5:21,2,11,CLE 9,Carlos Hyde right tackle for -2 yards (tackle by Marlon Humphrey),3,0,-0.850,-1.770
2,4:35,3,13,CLE 7,Baker Mayfield pass complete short right to Duke Johnson for 7 yards (tackle by Anthony Levine and Eric Weddle),3,0,-1.770,-2.470
2,3:51,4,6,CLE 14,Britton Colquitt punts 46 yards fair catch by Tim White,3,0,-2.470,-1.600
2,3:45,1,10,RAV 40,Alex Collins right guard for 2 yards (tackle by Myles Garrett),3,0,1.600,1.320
2,3:06,2,8,RAV 42,Joe Flacco sacked by Myles Garrett and Trevon Coley for -4 yards,3,0,1.320,0.100
2,2:25,3,12,RAV 38,Joe Flacco pass complete short left to Javorius Allen for 5 yards (tackle by E.J. Gaines). Penalty on Mark Andrews: Offensive Pass Interference (Declined),3,0,0.100,-0.520
2,2:09,4,7,RAV 43,Sam Koch punts 47 yards returned by Jabrill Peppers for 12 yards (tackle by Anthony Levine),3,0,-0.520,-0.410
2,1:59,1,10,CLE 22,Baker Mayfield pass incomplete deep left intended for Jarvis Landry,3,0,0.410,-0.130
2,1:55,2,10,CLE 22,Baker Mayfield pass complete short left to Antonio Callaway for 8 yards (tackle by Brandon Carr),3,0,-0.130,0.230
2,1:14,3,2,CLE 30,Duke Johnson for 8 yards (tackle by Eric Weddle),3,0,0.230,1.470
2,1:08,1,10,CLE 38,Baker Mayfield pass complete deep right to David Njoku for 19 yards (tackle by Eric Weddle),3,0,1.470,2.720
2,0:47,1,10,RAV 43,Baker Mayfield pass complete deep right to David Njoku for 24 yards (tackle by Tony Jefferson),3,0,2.720,4.310
2,0:44,,,,Timeout #1 by Cleveland Browns,3,0,,
2,0:44,1,10,RAV 19,Baker Mayfield pass complete deep right to Rashard Higgins for 19 yards touchdown,3,6,4.310,7.000
2,0:40,,,RAV 15,Greg Joseph kicks extra point no good,3,6,0.000,-1.000
2,0:40,,,CLE 35,Greg Joseph kicks off 65 yards touchback,3,6,0.000,-0.610
2,0:40,1,10,RAV 25,Joe Flacco pass complete short right to John Brown for 4 yards (tackle by T.J. Carrie),3,6,0.610,0.600
2,0:34,,,,Timeout #1 by Baltimore Ravens,3,6,,
2,0:33,2,6,RAV 29,Joe Flacco pass complete short middle to Mark Andrews for 16 yards (tackle by Jabrill Peppers and Christian Kirksey),3,6,0.600,1.930
2,0:29,,,,Timeout #2 by Baltimore Ravens,3,6,,
2,0:28,1,10,RAV 45,Joe Flacco pass complete short middle to Michael Crabtree for 12 yards,3,6,1.930,2.720
2,0:21,1,10,CLE 43,Joe Flacco pass complete short middle to Willie Snead for 13 yards (tackle by Joe Schobert),3,6,2.720,3.580
2,0:14,,,,Timeout #3 by Baltimore Ravens,3,6,,
2,0:14,1,10,CLE 30,Joe Flacco pass incomplete short left intended for Michael Crabtree (defended by E.J. Gaines),3,6,3.580,3.030
2,0:10,2,10,CLE 30,Joe Flacco pass incomplete deep right intended for John Brown,3,6,3.030,2.340
2,0:05,3,10,CLE 30,Justin Tucker 48 yard field goal no good blocked by Denzel Ward recovered by Morgan Cox,3,6,2.340,-1.400
3,15:00,,,RAV 35,Justin Tucker kicks off 65 yards touchback,3,6,0.000,-0.610
