Name,Team,Games,Starts,SuccPlays,PI,FailPlays,TotPlays,SuccRate,SuccYards,FailYards,TotYards,SYardsPerP,FYardsPerP,YardsPerP,PassSuccPlays,PassFailPlays,PassTotPlays,PassSuccYards,PassFailYards,PassTotYards,PassSuccRate,PSuccYPP,PFailYPP,PYPP
Baker Mayfield,Browns,13.0,12.0,241.0,5.0,261.0,507.0,0.48520710059171596,3265.0,53.0,3318.0,6.50398406374502,0.10557768924302789,6.609561752988048,224.0,217.0,441.0,3124.0,225.0,3349.0,0.5079365079365079,7.083900226757369,0.5102040816326531,7.594104308390023
Sam Darnold,Jets,12.0,12.0,200.0,1.0,244.0,445.0,0.451685393258427,2624.0,28.0,2652.0,5.90990990990991,0.06306306306306306,5.972972972972973,183.0,202.0,385.0,2528.0,170.0,2698.0,0.4753246753246753,6.566233766233767,0.44155844155844154,7.007792207792208
