Quarter,Time,Down,ToGo,Location,Detail,IND,NYJ,EPB,EPA
2,12:20,1,10,NYJ 16,Andrew Luck pass incomplete short right intended for Chester Rogers,10,10,4.510,3.900
2,12:14,2,10,NYJ 16,Robert Turbin left end for 3 yards (tackle by Henry Anderson),10,10,3.900,3.540
2,11:32,3,7,NYJ 13,Andrew Luck pass incomplete short middle intended for Eric Ebron (defended by Darryl Roberts),10,10,3.540,2.570
2,11:27,4,7,NYJ 13,Adam Vinatieri 31 yard field goal good,13,10,2.570,3.000
2,11:24,,,CLT 35,Rigoberto Sanchez kicks off 65 yards returned by Andre Roberts for 29 yards (tackle by Christopher Milton). Penalty on Doug Middleton: Offensive Holding 10 yards,13,10,0.000,0.320
2,11:18,1,10,NYJ 13,Bilal Powell middle for 4 yards (tackle by Darius Leonard),13,10,-0.320,-0.300
2,10:42,2,6,NYJ 17,Sam Darnold pass complete short left to Eric Tomlinson for 11 yards (tackle by Malik Hooker). Penalty on Brandon Shell: Offensive Holding 8 yards (no play),13,10,-0.300,-1.070
2,10:12,2,14,NYJ 9,Bilal Powell right end for 2 yards (tackle by Hassan Ridgeway),13,10,-1.070,-1.650
2,9:30,3,12,NYJ 11,Sam Darnold pass complete short right to Robby Anderson for 11 yards (tackle by Jabaal Sheard),13,10,-1.650,-1.900
2,8:51,4,1,NYJ 22,Lac Edwards punts 43 yards,13,10,-1.900,-1.270
2,8:39,1,10,CLT 35,Andrew Luck pass complete short right to Zach Pascal for 6 yards (tackle by Morris Claiborne),13,10,1.270,1.530
2,8:06,2,4,CLT 41,Robert Turbin middle for 3 yards (tackle by Jordan Jenkins),13,10,1.530,1.220
2,7:29,3,1,CLT 44,Robert Turbin middle for -1 yards (tackle by Jamal Adams). Robert Turbin fumbles (forced by Jamal Adams) recovered by Jordan Jenkins at IND-43 (tackle by Mark Glowinski),13,10,1.220,-2.720
2,7:22,1,10,CLT 43,Isaiah Crowell left end for 3 yards,13,10,2.720,2.580
2,6:47,2,7,CLT 40,Isaiah Crowell right guard for no gain (tackle by Jabaal Sheard),13,10,2.580,1.880
2,6:04,3,7,CLT 40,Sam Darnold pass complete short right to Robby Anderson for 19 yards (tackle by Pierre Desir),13,10,1.880,4.170
2,5:21,1,10,CLT 21,Sam Darnold pass complete short left to Jermaine Kearse for 5 yards (tackle by Pierre Desir),13,10,4.170,4.370
2,4:34,2,5,CLT 16,Isaiah Crowell left end for -1 yards (tackle by Anthony Walker),13,10,4.370,3.460
2,3:55,3,6,CLT 17,Sam Darnold pass complete short left to Jermaine Kearse for 7 yards (tackle by Pierre Desir),13,10,3.460,4.910
2,3:20,1,10,CLT 10,Isaiah Crowell left end for 3 yards (tackle by Kemoko Turay),13,10,4.910,4.760
2,2:39,2,7,CLT 7,Sam Darnold pass complete short middle to Terrelle Pryor for 7 yards touchdown,13,16,4.760,7.000
2,2:35,,,CLT 15,Jason Myers kicks extra point good,13,17,0.000,0.000
2,2:35,,,NYJ 35,Jason Myers kicks off 65 yards touchback,13,17,0.000,-0.610
2,2:35,1,10,CLT 25,Andrew Luck pass complete short right to Ryan Grant for 12 yards,13,17,0.610,1.400
2,2:09,1,10,CLT 37,Andrew Luck pass incomplete deep middle intended for Ryan Grant is intercepted by Avery Williamson at NYJ-42 and returned for 36 yards,13,17,1.400,-4.110
2,1:54,1,10,CLT 22,Sam Darnold pass incomplete deep left intended for Robby Anderson,13,17,4.110,3.560
2,1:49,2,10,CLT 22,Sam Darnold pass incomplete short left intended for Jermaine Kearse,13,17,3.560,2.870
2,1:43,3,10,CLT 22,Sam Darnold pass complete short right to Bilal Powell for 12 yards (tackle by Jabaal Sheard). Penalty on Spencer Long: Ineligible Downfield Pass 5 yards (no play),13,17,2.870,2.210
2,1:36,,,,Timeout #1 by New York Jets,13,17,,
2,1:36,3,15,CLT 27,Sam Darnold sacked by Jihad Ward for -3 yards,13,17,2.210,1.410
2,1:29,,,,Timeout #1 by Indianapolis Colts,13,17,,
2,1:29,4,18,CLT 30,Jason Myers 48 yard field goal good,13,20,1.410,3.000
2,1:25,,,NYJ 35,Jason Myers kicks off 65 yards touchback,13,20,0.000,-0.610
2,1:25,1,10,CLT 25,Andrew Luck pass complete short right to Zach Pascal for 2 yards (tackle by Parry Nickerson),13,20,0.610,0.330
2,0:59,2,8,CLT 27,Andrew Luck pass incomplete deep middle intended for Marcus Johnson,13,20,0.330,-0.360
2,0:54,3,8,CLT 27,Andrew Luck pass incomplete short middle intended for Chester Rogers,13,20,-0.360,-1.570
2,0:50,4,8,CLT 27,Rigoberto Sanchez punts 45 yards fair catch by Andre Roberts,13,20,-1.570,-0.810
2,0:42,1,10,NYJ 28,Sam Darnold pass complete short right to Terrelle Pryor for 5 yards,13,20,0.810,0.940
2,0:29,,,,Timeout #2 by New York Jets,13,20,,
2,0:28,2,5,NYJ 33,Sam Darnold pass complete deep left to Terrelle Pryor for 22 yards (tackle by Pierre Desir),13,20,0.940,2.590
2,0:22,,,,Timeout #3 by New York Jets,13,20,,
2,0:22,1,10,CLT 45,Sam Darnold pass complete short left to Robby Anderson for 9 yards,13,20,2.590,3.260
2,0:18,2,1,CLT 36,Sam Darnold pass complete deep middle to Jermaine Kearse for 22 yards (tackle by Anthony Walker),13,20,3.260,4.650
2,0:03,1,10,CLT 14,Sam Darnold spiked the ball,13,20,4.650,4.000
2,0:03,2,10,CLT 14,Jason Myers 32 yard field goal good,13,23,4.000,3.000
3,15:00,,,CLT 35,Rigoberto Sanchez kicks off 65 yards returned by Andre Roberts for 28 yards (tackle by Matthew Adams),13,23,0.000,-0.810
3,14:55,1,10,NYJ 28,Bilal Powell middle for 5 yards (tackle by Hassan Ridgeway and Al Woods),13,23,0.810,0.940
3,14:14,2,5,NYJ 33,Sam Darnold pass complete short left to Jermaine Kearse for no gain,13,23,0.940,0.230
3,13:32,3,5,NYJ 33,Sam Darnold pass complete short middle to Terrelle Pryor for 19 yards (tackle by Pierre Desir),13,23,0.230,2.390
3,12:51,1,10,CLT 48,Bilal Powell middle for 16 yards (tackle by Nate Hairston),13,23,2.390,3.450
3,12:10,1,10,CLT 32,Sam Darnold pass complete deep left to Christopher Herndon for 32 yards touchdown,13,29,3.450,7.000
3,12:03,,,CLT 15,Jason Myers kicks extra point good,13,30,0.000,0.000
3,12:03,,,NYJ 35,Jason Myers kicks off 65 yards touchback,13,30,0.000,-0.610
3,12:03,1,10,CLT 25,Marlon Mack for 14 yards (tackle by Marcus Maye),13,30,0.610,1.530
3,11:30,1,10,CLT 39,Andrew Luck pass complete short left to Nyheim Hines for 11 yards (tackle by Jamal Adams and Darron Lee),13,30,1.530,2.260
3,10:55,1,10,50,Zach Pascal right end for 8 yards (tackle by Marcus Maye),13,30,2.260,2.790
3,10:20,2,2,NYJ 42,Andrew Luck pass complete short right to Marlon Mack for 5 yards (tackle by Darryl Roberts). Penalty on Zach Pascal: Illegal Motion 5 yards (no play),13,30,2.790,2.120
3,9:52,2,7,NYJ 47,Marlon Mack middle for 25 yards (tackle by Marcus Maye),13,30,2.120,4.110
3,9:25,1,10,NYJ 22,Nyheim Hines middle for 4 yards (tackle by Avery Williamson),13,30,4.110,4.130
3,8:50,2,6,NYJ 18,Andrew Luck pass complete short middle to Eric Ebron for 18 yards touchdown,19,30,4.130,7.000
3,8:44,,,NYJ 15,Adam Vinatieri kicks extra point good,20,30,0.000,0.000
3,8:44,,,CLT 35,Rigoberto Sanchez kicks off 65 yards touchback,20,30,0.000,-0.610
3,8:44,1,10,NYJ 25,Isaiah Crowell left tackle for 3 yards (tackle by Grover Stewart),20,30,0.610,0.470
3,8:06,2,7,NYJ 28,Isaiah Crowell middle for 2 yards (tackle by Grover Stewart and Darius Leonard),20,30,0.470,0.040
3,7:24,3,5,NYJ 30,Sam Darnold pass complete short middle to Jermaine Kearse for 19 yards,20,30,0.040,2.190
3,6:42,1,10,NYJ 49,Sam Darnold for 6 yards,20,30,2.190,2.460
3,6:04,2,4,CLT 45,Isaiah Crowell middle for 21 yards (tackle by Corey Moore),20,30,2.460,3.970
3,5:19,1,10,CLT 24,Isaiah Crowell right guard for no gain (tackle by Jihad Ward),20,30,3.970,3.430
3,4:38,2,10,CLT 24,Sam Darnold pass incomplete short right intended for Terrelle Pryor,20,30,3.430,2.740
3,4:33,3,10,CLT 24,Sam Darnold pass complete short middle to Isaiah Crowell for 5 yards (tackle by Quincy Wilson),20,30,2.740,2.240
3,3:57,4,5,CLT 19,Jason Myers 37 yard field goal good,20,33,2.240,3.000
3,3:53,,,NYJ 35,Jason Myers kicks off 65 yards touchback,20,33,0.000,-0.610
3,3:53,1,10,CLT 25,Marlon Mack left guard for 11 yards (tackle by Darron Lee),20,33,0.610,1.330
3,3:32,1,10,CLT 36,Andrew Luck pass complete short right to Chester Rogers for 1 yard (tackle by Avery Williamson). Penalty on Zach Pascal: Offensive Holding 10 yards,20,33,1.330,0.740
3,3:11,1,19,CLT 27,Andrew Luck pass complete short right to Chester Rogers for 21 yards (tackle by Marcus Maye),20,33,0.740,2.130
3,2:43,1,10,CLT 48,Nyheim Hines left guard for 8 yards (tackle by Darron Lee),20,33,2.130,2.660
3,2:22,2,2,NYJ 44,Andrew Luck middle for 4 yards (tackle by Frankie Luvu),20,33,2.660,2.920
3,1:47,1,10,NYJ 40,Andrew Luck pass incomplete short left intended for Zach Pascal (defended by Jamal Adams),20,33,2.920,2.370
