Quarter,Time,Down,ToGo,Location,Detail,ATL,CLE,EPB,EPA
2,5:47,2,6,CLE 6,Matt Ryan pass complete short right to Logan Paulsen for 5 yards (tackle by Anthony Zettel),3,7,4.950,5.170
2,5:08,3,1,CLE 1,Matt Ryan pass complete short left to Julio Jones for 1 yard touchdown,9,7,5.170,7.000
2,5:04,,,CLE 15,Giorgio Tavecchio kicks extra point good,10,7,0.000,0.000
2,5:04,,,ATL 35,Matthew Bosher kicks off 65 yards returned by Jabrill Peppers for 20 yards (tackle by Sharrod Neasman),10,7,0.000,-0.280
2,5:00,1,10,CLE 20,Baker Mayfield pass complete short middle to Antonio Callaway for 25 yards (tackle by Robert Alford and Desmond Trufant),10,7,0.280,1.930
2,4:20,1,10,CLE 45,Nick Chubb left tackle for 3 yards (tackle by Jack Crawford and Grady Jarrett),10,7,1.930,1.790
2,3:38,2,7,CLE 48,Baker Mayfield pass complete short right to Orson Charles for 6 yards (tackle by Jordan Richards),10,7,1.790,1.880
2,2:56,,,,Timeout #1 by Atlanta Falcons,10,7,,
2,2:56,3,1,ATL 46,Nick Chubb left guard for 11 yards (tackle by Kemal Ishmael and Foyesade Oluokun),10,7,1.880,3.250
2,2:17,1,10,ATL 35,Nick Chubb left tackle for 4 yards (tackle by Terrell McClain and Deadrin Senat),10,7,3.250,3.240
2,2:00,2,6,ATL 31,Nick Chubb left guard for 20 yards (tackle by De'Vondre Campbell),10,7,3.240,4.840
2,1:18,1,10,ATL 11,Penalty on Nick Chubb: False Start 5 yards (no play),10,7,4.840,4.340
2,1:08,1,15,ATL 16,Nick Chubb right guard for 3 yards (tackle by De'Vondre Campbell),10,7,4.340,3.830
2,1:02,,,,Timeout #2 by Atlanta Falcons,10,7,,
2,1:01,2,12,ATL 13,Baker Mayfield pass complete short right to Nick Chubb for 13 yards touchdown,10,13,3.830,7.000
2,0:55,,,ATL 15,Greg Joseph kicks extra point good,10,14,0.000,0.000
2,0:55,,,CLE 35,Greg Joseph kicks off 65 yards touchback,10,14,0.000,-0.610
2,0:55,1,10,ATL 25,Matt Ryan pass complete deep left to Julio Jones for 18 yards,10,14,0.610,1.800
2,0:50,1,10,ATL 43,Matt Ryan pass complete short left to Ito Smith for 2 yards (tackle by Larry Ogunjobi),10,14,1.800,1.520
2,0:29,2,8,ATL 45,Matt Ryan pass incomplete short left intended for Ito Smith,10,14,1.520,0.830
2,0:26,3,8,ATL 45,Matt Ryan sacked by Emmanuel Ogbah and Larry Ogunjobi for -6 yards,10,14,0.830,-0.780
3,15:00,,,CLE 35,Greg Joseph kicks off 69 yards returned by Marvin Hall for 26 yards (tackle by Jermaine Whitehead),10,14,0.000,-0.410
3,14:55,1,10,ATL 22,Matt Ryan pass complete deep left to Julio Jones for 23 yards (tackle by Tanner Vallejo),10,14,0.410,1.930
3,14:20,1,10,ATL 45,Tevin Coleman right end for -8 yards (tackle by Jamie Collins),10,14,1.930,0.300
3,13:39,2,18,ATL 37,Matt Ryan pass complete short right to Mohamed Sanu for 4 yards (tackle by T.J. Carrie and Tanner Vallejo). Mohamed Sanu fumbles (forced by T.J. Carrie) recovered by T.J. Carrie at ATL-41 (tackle by Alex Mack),10,14,0.300,-2.850
3,13:27,1,10,ATL 41,Baker Mayfield for 6 yards (tackle by Brooks Reed). Baker Mayfield fumbles (forced by Brooks Reed) recovered by Baker Mayfield at ATL-46,10,14,2.850,3.120
3,12:42,2,4,ATL 35,Baker Mayfield pass complete short left to Duke Johnson for 10 yards (tackle by Duke Riley),10,14,3.120,3.910
3,12:07,1,10,ATL 25,Nick Chubb right guard for 10 yards (tackle by Damontae Kazee and Robert Alford),10,14,3.910,4.580
3,11:18,1,10,ATL 15,Baker Mayfield pass incomplete short right intended for Jarvis Landry,10,14,4.580,3.950
3,11:14,2,10,ATL 15,Duke Johnson left end for 4 yards (tackle by Robert Alford),10,14,3.950,3.780
3,10:31,3,6,ATL 11,Baker Mayfield pass complete short middle to Duke Johnson for 11 yards touchdown,10,20,3.780,7.000
3,10:27,,,ATL 15,Greg Joseph kicks extra point good,10,21,0.000,0.000
3,10:27,,,CLE 35,Greg Joseph kicks off 48 yards returned by Brian Hill for 16 yards (tackle by Tavierre Thomas),10,21,0.000,-1.140
3,10:21,1,10,ATL 33,Tevin Coleman right tackle for 18 yards (tackle by Jabrill Peppers),10,21,1.140,2.320
3,9:58,1,10,CLE 49,Matt Ryan pass incomplete short left intended for Tevin Coleman,10,21,2.320,1.780
3,9:53,2,10,CLE 49,Matt Ryan pass complete short left to Austin Hooper for 3 yards (tackle by Tanner Vallejo),10,21,1.780,1.490
3,9:13,3,7,CLE 46,Matt Ryan pass incomplete short right intended for Calvin Ridley (defended by Denzel Ward),10,21,1.490,0.200
3,9:08,4,7,CLE 46,Matthew Bosher punts 38 yards fair catch by Jabrill Peppers,10,21,0.200,0.380
3,9:01,1,10,CLE 8,Baker Mayfield pass incomplete short left intended for Jarvis Landry,10,21,-0.380,-0.780
3,8:51,2,10,CLE 8,Nick Chubb right tackle for 92 yards touchdown,10,27,-0.780,7.000
3,8:45,,,ATL 15,Greg Joseph kicks extra point good,10,28,0.000,0.000
3,8:45,,,CLE 35,Greg Joseph kicks off 65 yards touchback,10,28,0.000,-0.610
3,8:45,1,10,ATL 25,Matt Ryan pass complete short right to Mohamed Sanu for 8 yards (tackle by Derrick Kindred),10,28,0.610,1.140
3,8:19,2,2,ATL 33,Ito Smith right guard for 4 yards (tackle by Larry Ogunjobi),10,28,1.140,1.400
3,7:42,1,10,ATL 37,Matt Ryan pass incomplete deep middle intended for Julio Jones,10,28,1.400,0.860
3,7:37,2,10,ATL 37,Matt Ryan pass complete short right to Calvin Ridley for no gain,10,28,0.860,0.170
3,6:53,3,10,ATL 37,Matt Ryan right end for 5 yards (tackle by Chris Smith),10,28,0.170,-0.590
3,6:18,4,5,ATL 42,Matthew Bosher punts 44 yards returned by Jabrill Peppers for 6 yards (tackle by Kemal Ishmael),10,28,-0.590,-0.280
3,6:08,1,10,CLE 20,Nick Chubb left guard for 5 yards (tackle by De'Vondre Campbell),10,28,0.280,0.410
3,5:25,2,5,CLE 25,Baker Mayfield pass incomplete deep right intended for Jarvis Landry,10,28,0.410,-0.300
3,5:21,3,5,CLE 25,Baker Mayfield for 10 yards,10,28,-0.300,1.270
3,4:25,1,10,CLE 35,Duke Johnson left tackle for 5 yards (tackle by Kemal Ishmael and Foyesade Oluokun). Penalty on Greg Robinson: Offensive Holding 10 yards (no play),10,28,1.270,0.610
3,4:08,1,20,CLE 25,Baker Mayfield pass incomplete short left intended for Antonio Callaway. Penalty on Jack Crawford: Defensive Offside 5 yards (no play),10,28,0.610,0.940
3,4:03,1,15,CLE 30,Baker Mayfield pass complete short left to Nick Chubb for 7 yards (tackle by Jordan Richards),10,28,0.940,0.990
3,3:26,2,8,CLE 37,Nick Chubb left end for 7 yards (tackle by Damontae Kazee). Penalty on Greg Robinson: Offensive Holding 10 yards (no play),10,28,0.990,-0.360
3,2:54,2,18,CLE 27,Baker Mayfield pass complete short left to Duke Johnson for 9 yards (tackle by Jordan Richards),10,28,-0.360,0.170
3,2:13,3,9,CLE 36,Duke Johnson left tackle for 2 yards (tackle by Bruce Irvin),10,28,0.170,-0.850
3,1:33,4,7,CLE 38,Britton Colquitt punts 43 yards fair catch by Justin Hardy,10,28,-0.850,-0.150
3,1:25,1,10,ATL 19,Matt Ryan pass incomplete short left intended for Tevin Coleman,10,28,0.150,-0.390
3,1:20,2,10,ATL 19,Matt Ryan pass complete short left to Mohamed Sanu for 7 yards (tackle by T.J. Carrie),10,28,-0.390,-0.160
3,0:44,3,3,ATL 26,Matt Ryan pass complete short middle to Mohamed Sanu for 11 yards (tackle by Jamie Collins),10,28,-0.160,1.400
3,0:17,1,10,ATL 37,Matt Ryan pass complete short left to Julio Jones for 20 yards (tackle by Genard Avery and T.J. Carrie),10,28,1.400,2.720
4,15:00,1,10,CLE 43,Matt Ryan pass complete short left to Marvin Hall for 12 yards (tackle by Genard Avery),10,28,2.720,3.510
4,14:18,1,10,CLE 31,Matt Ryan pass complete short middle to Julio Jones for 12 yards (tackle by Myles Garrett),10,28,3.510,4.310
4,13:52,1,10,CLE 19,Matt Ryan pass incomplete deep left intended for Julio Jones. Penalty on T.J. Carrie: Defensive Pass Interference 13 yards (no play),10,28,4.310,5.830
4,13:46,1,6,CLE 6,Matt Ryan pass complete short right to Austin Hooper for 1 yard (tackle by Jamie Collins),10,28,5.830,5.150
4,13:08,2,5,CLE 5,Tevin Coleman left guard for 4 yards (tackle by Joe Schobert and Jabrill Peppers),10,28,5.150,5.170
4,13:08,3,1,CLE 1,Penalty on Larry Ogunjobi: Neutral Zone Infraction (no play),10,28,5.170,5.170
4,12:18,3,1,CLE 1,Tevin Coleman left guard for no gain (tackle by Joe Schobert),10,28,5.170,3.550
4,11:33,4,1,CLE 1,Matt Ryan pass incomplete short middle intended for Eric Saubert,10,28,3.550,0.380
4,11:29,1,10,CLE 1,Penalty on Kevin Zeitler: False Start (no play),10,28,-0.380,-0.380
4,11:29,1,10,CLE 1,Penalty on Joel Bitonio: False Start (no play),10,28,-0.380,-0.380
4,11:29,1,10,CLE 1,Baker Mayfield pass complete short left to Antonio Callaway for 14 yards (tackle by Robert Alford),10,28,-0.380,-0.220
4,10:44,1,10,CLE 15,Nick Chubb right guard for 8 yards (tackle by Derrick Shelby and De'Vondre Campbell),10,28,-0.220,0.480
4,10:00,2,2,CLE 23,Nick Chubb right tackle for no gain (tackle by Brooks Reed),10,28,0.480,-0.390
4,9:18,3,2,CLE 23,Nick Chubb left end for 1 yard (tackle by Derrick Shelby),10,28,-0.390,-1.770
4,8:37,4,1,CLE 24,Britton Colquitt punts 50 yards returned by Justin Hardy for 5 yards (tackle by Seth Devalve),10,28,-1.770,-1.000
4,8:27,1,10,ATL 31,Matt Ryan pass complete short right to Ito Smith for 1 yard (tackle by Jamie Collins and Chris Smith),10,28,1.000,0.600
4,8:05,2,9,ATL 32,Matt Ryan pass complete short left to Ito Smith for 8 yards (tackle by Briean Boddy-Calhoun and Genard Avery),10,28,0.600,0.960
4,7:40,3,1,ATL 40,Matt Ryan pass complete short middle to Calvin Ridley for 6 yards (tackle by Denzel Ward),10,28,0.960,1.990
