Quarter,Time,Down,ToGo,Location,Detail,CLE,TAM,EPB,EPA
2,12:14,2,10,CLE 47,Jameis Winston pass complete short middle to O.J. Howard for 10 yards (tackle by T.J. Carrie),2,9,1.910,3.120
2,11:32,1,10,CLE 37,Jameis Winston pass complete short middle to O.J. Howard for 18 yards (tackle by Briean Boddy-Calhoun),2,9,3.120,4.310
2,10:52,1,10,CLE 19,Ronald Jones right end for no gain (tackle by T.J. Carrie),2,9,4.310,3.750
2,10:13,2,10,CLE 19,Jameis Winston pass incomplete deep right intended for DeSean Jackson (defended by Denzel Ward),2,9,3.750,3.030
2,10:06,3,10,CLE 19,Jameis Winston sacked by Emmanuel Ogbah for -8 yards. Penalty on Christian Kirksey: Illegal Contact 5 yards (no play),2,9,3.030,4.650
2,9:42,1,10,CLE 14,Ronald Jones middle for 9 yards (tackle by Damarious Randall),2,9,4.650,5.670
2,9:00,2,1,CLE 5,Ronald Jones right end for -3 yards (tackle by Denzel Ward and Jamie Collins),2,9,5.670,4.280
2,8:18,3,4,CLE 8,Penalty on Larry Ogunjobi: Neutral Zone Infraction 4 yards (no play),2,9,4.280,6.280
2,8:09,1,4,CLE 4,--,2,9,6.280,4.440
2,8:05,1,14,CLE 14,Jameis Winston right guard for 14 yards touchdown,2,15,4.440,7.000
2,7:58,,,CLE 15,Chandler Catanzaro kicks extra point good,2,16,0.000,0.000
2,7:58,,,TAM 35,Chandler Catanzaro kicks off 65 yards touchback,2,16,0.000,-0.610
2,7:58,1,10,CLE 25,Baker Mayfield pass complete short right to Damion Ratley for 6 yards (tackle by Brent Grimes),2,16,0.610,0.870
2,7:24,2,4,CLE 31,Nick Chubb left guard for 14 yards (tackle by Justin Evans),2,16,0.870,1.930
2,6:49,1,10,CLE 45,Nick Chubb left guard for 6 yards (tackle by Jason Pierre-Paul). Penalty on Kevin Zeitler: Face Mask (15 Yards) 15 yards (no play),2,16,1.930,0.940
2,6:24,1,25,CLE 30,Baker Mayfield for 7 yards,2,16,0.940,0.300
2,5:42,2,18,CLE 37,Baker Mayfield pass complete short left to Duke Johnson for 7 yards (tackle by Jordan Whitehead),2,16,0.300,0.560
2,5:02,3,11,CLE 44,Baker Mayfield pass complete short right to Jarvis Landry for 7 yards (tackle by Kwon Alexander),2,16,0.560,0.000
2,4:28,4,4,TAM 49,Britton Colquitt punts 49 yards touchback,2,16,0.000,-0.280
2,4:18,1,10,TAM 20,Jameis Winston pass complete short right to Antony Auclair for 6 yards (tackle by Jamie Collins),2,16,0.280,0.540
2,3:41,2,4,TAM 26,Peyton Barber right guard for 1 yard (tackle by Christian Kirksey),2,16,0.540,-0.030
2,3:00,3,3,TAM 27,Jameis Winston pass complete deep right to Mike Evans for 29 yards (tackle by Briean Boddy-Calhoun),2,16,-0.030,2.650
2,2:30,1,10,CLE 44,Jameis Winston pass incomplete deep middle intended for O.J. Howard is intercepted by Christian Kirksey at CLE-27 and returned for 13 yards. Penalty on Demar Dotson: Offensive Holding superseded. PENALTY on CLE-E.Ogbah Illegal  15 yards,2,16,2.650,-0.610
2,2:19,1,10,CLE 25,Duke Johnson middle for -4 yards (tackle by Lavonte David),2,16,0.610,-0.480
2,2:00,2,14,CLE 21,Baker Mayfield pass complete short left to Duke Johnson for 7 yards (tackle by Lavonte David),2,16,-0.480,-0.230
2,1:54,3,7,CLE 28,Baker Mayfield sacked by Carl Nassib for -9 yards,2,16,-0.230,-2.140
2,1:49,,,,Timeout #1 by Tampa Bay Buccaneers,2,16,,
2,1:49,4,16,CLE 19,Britton Colquitt punts 79 yards returned by Adam Humphries for 8 yards (tackle by Tanner Vallejo). Penalty on Ryan Smith: Illegal Block Above the Waist 1 yards,2,16,-2.140,0.380
2,1:37,1,10,TAM 1,Jameis Winston pass complete short middle to Jacquizz Rodgers for 11 yards (tackle by Christian Kirksey),2,16,-0.380,-0.350
2,1:10,1,10,TAM 12,Jameis Winston pass complete short left to Chris Godwin for 5 yards (tackle by Damarious Randall),2,16,-0.350,-0.230
2,1:04,2,5,TAM 17,Jameis Winston pass complete short right to Cameron Brate for 10 yards (tackle by T.J. Carrie). Cameron Brate fumbles (forced by T.J. Carrie) recovered by Christian Kirksey at TAM-27 and returned for 8 yards (tackle by Jameis Winston),2,16,-0.230,-4.310
2,0:50,1,10,TAM 19,Baker Mayfield pass incomplete deep right intended for Jarvis Landry,2,16,4.310,3.750
2,0:45,2,10,TAM 19,Baker Mayfield pass incomplete deep right intended for Jarvis Landry,2,16,3.750,3.030
2,0:40,3,10,TAM 19,Baker Mayfield pass complete short right to Damion Ratley for 8 yards (tackle by M.J. Stewart and Justin Evans),2,16,3.030,2.820
2,0:26,,,,Timeout #2 by Cleveland Browns,2,16,,
2,0:26,4,2,TAM 11,Baker Mayfield left end for 1 yard (tackle by Lavonte David). Baker Mayfield fumbles (forced by Lavonte David) ball out of bounds at TAM-10,2,16,2.820,0.380
2,0:18,1,10,TAM 10,Jameis Winston kneels for -1 yards,2,16,-0.380,-0.850
3,15:00,,,CLE 35,Greg Joseph kicks off 65 yards touchback,2,16,0.000,-0.610
3,15:00,1,10,TAM 25,Peyton Barber middle for 4 yards (tackle by Christian Kirksey and Jamie Collins),2,16,0.610,0.600
3,14:31,2,6,TAM 29,Jameis Winston sacked by Myles Garrett for -8 yards. Jameis Winston fumbles (forced by Myles Garrett) recovered by Genard Avery at TAM-31 and returned for 5 yards (tackle by Jameis Winston),2,16,0.600,-3.840
3,14:23,1,10,TAM 26,Baker Mayfield pass complete short left to David Njoku for 7 yards (tackle by Jack Cichy),2,16,3.840,4.270
3,13:48,2,3,TAM 19,Nick Chubb left guard for 4 yards (tackle by Isaiah Johnson),2,16,4.270,4.580
3,13:08,1,10,TAM 15,Baker Mayfield pass complete short left to David Njoku for 15 yards touchdown,8,16,4.580,7.000
3,13:01,,,TAM 15,Greg Joseph kicks extra point good,9,16,0.000,0.000
3,13:01,,,CLE 35,Greg Joseph kicks off 65 yards touchback,9,16,0.000,-0.610
3,13:01,1,10,TAM 25,Peyton Barber middle for no gain (tackle by Emmanuel Ogbah),9,16,0.610,0.060
3,12:31,2,10,TAM 25,Jameis Winston pass incomplete deep left intended for Mike Evans,9,16,0.060,-0.620
3,12:26,3,10,TAM 25,Jameis Winston pass incomplete short middle intended for Adam Humphries. Penalty on T.J. Carrie: Defensive Holding 5 yards (no play),9,16,-0.620,0.940
3,12:22,1,10,TAM 30,Jameis Winston pass incomplete deep right intended for DeSean Jackson. Penalty on Emmanuel Ogbah: Roughing the Passer 15 yards (no play),9,16,0.940,1.930
3,12:17,1,10,TAM 45,Peyton Barber left guard for 12 yards (tackle by Briean Boddy-Calhoun),9,16,1.930,2.720
3,11:50,1,10,CLE 43,Jameis Winston pass complete short left to Ronald Jones for 15 yards (tackle by Damarious Randall),9,16,2.720,3.710
3,11:23,1,10,CLE 28,Peyton Barber right guard for 1 yard (tackle by Emmanuel Ogbah). Penalty on Caleb Benenoch: Offensive Holding 10 yards (no play),9,16,3.710,3.050
3,11:04,1,20,CLE 38,Penalty on Donovan Smith: False Start 5 yards (no play),9,16,3.050,2.720
3,10:48,1,25,CLE 43,Jameis Winston pass incomplete short left intended for Peyton Barber,9,16,2.720,1.140
