Quarter,Time,Down,ToGo,Location,Detail,NYJ,MIA,EPB,EPA
,,,,,NYJ challenged the first down ruling and the play was overturned. Brock Osweiler middle for 6 yards (tackle by Darron Lee and Jordan Jenkins),,,,
2,9:15,4,1,MIA 36,Matt Haack punts 40 yards fair catch by Andre Roberts. Penalty on Mike Pennel: Illegal Block Above the Waist 10 yards,0,3,-0.980,0.280
2,8:56,1,10,NYJ 14,Sam Darnold pass incomplete short left intended for Isaiah Crowell,0,3,-0.280,-0.750
2,8:50,2,10,NYJ 14,Isaiah Crowell left end for 2 yards (tackle by Minkah Fitzpatrick),0,3,-0.750,-1.160
2,8:07,3,8,NYJ 16,Sam Darnold pass complete short right to Robby Anderson for 3 yards (tackle by Bobby McCain),0,3,-1.160,-2.140
2,7:20,4,5,NYJ 19,Lac Edwards punts 41 yards fair catch by Jakeem Grant,0,3,-2.140,-1.600
2,7:14,1,10,MIA 40,Brock Osweiler pass complete short right to Kenyan Drake for 7 yards (tackle by Darryl Roberts and Avery Williamson),0,3,1.600,2.000
2,6:41,2,3,MIA 47,Kenyan Drake right guard for 2 yards (tackle by Jamal Adams),0,3,2.000,1.550
2,6:05,3,1,MIA 49,Brock Osweiler pass complete short right to Danny Amendola for 6 yards (tackle by Buster Skrine),0,3,1.550,2.590
2,5:27,1,10,NYJ 45,Kalen Ballage middle for -2 yards (tackle by Jamal Adams),0,3,2.590,1.770
2,4:47,2,12,NYJ 47,Brock Osweiler pass complete short right to Kenyan Drake for 9 yards (tackle by Avery Williamson),0,3,1.770,2.280
2,4:09,3,3,NYJ 38,Brock Osweiler pass incomplete short middle intended for Jakeem Grant (defended by Brandon Copeland),0,3,2.280,0.720
2,4:04,,,,Timeout #1 by Miami Dolphins,0,3,,
2,4:04,4,3,NYJ 38,Brock Osweiler pass complete short left to Kenyan Drake for 7 yards,0,3,0.720,3.510
2,3:29,1,10,NYJ 31,Brock Osweiler sacked by Jordan Jenkins for -9 yards,0,3,3.510,1.750
2,2:51,2,19,NYJ 40,Frank Gore middle for 7 yards (tackle by Marcus Maye),0,3,1.750,2.020
2,2:11,3,12,NYJ 33,Brock Osweiler pass complete short left to Jakeem Grant for 16 yards (tackle by Avery Williamson),0,3,2.020,4.440
2,2:00,1,10,NYJ 17,Frank Gore middle for 2 yards (tackle by Tarell Basham and Jeremiah Attaochu),0,3,4.440,4.150
2,1:26,2,8,NYJ 15,Brock Osweiler pass complete short left to Frank Gore for 6 yards (tackle by Jamal Adams),0,3,4.150,4.570
2,1:19,3,2,NYJ 9,Brock Osweiler pass incomplete short left intended for Kenyan Drake (defended by Jamal Adams),0,3,4.570,2.950
2,1:14,4,2,NYJ 9,Jason Sanders 27 yard field goal good,0,6,2.950,3.000
2,1:11,,,MIA 35,Jason Sanders kicks off 65 yards touchback,0,6,0.000,-0.610
2,1:11,1,10,NYJ 25,Sam Darnold pass complete short right to Elijah McGuire for 20 yards (tackle by T.J. McDonald),0,6,0.610,1.930
2,1:05,1,10,NYJ 45,Sam Darnold pass complete short left to Christopher Herndon for 9 yards (tackle by T.J. McDonald),0,6,1.930,2.600
2,0:46,2,1,MIA 46,Sam Darnold pass complete short middle to Jermaine Kearse for 8 yards (tackle by T.J. McDonald),0,6,2.600,3.050
2,0:40,,,,Timeout #2 by New York Jets,0,6,,
2,0:40,1,10,MIA 38,Sam Darnold pass incomplete deep right intended for Jordan Leggett,0,6,3.050,2.510
2,0:34,2,10,MIA 38,Sam Darnold pass incomplete short left intended for Deontay Burnett (defended by Xavien Howard),0,6,2.510,1.820
2,0:30,3,10,MIA 38,Sam Darnold pass complete short right to Quincy Enunwa for 8 yards (tackle by Torry McTyer),0,6,1.820,1.500
2,0:25,,,,Timeout #2 by Miami Dolphins,0,6,,
2,0:25,4,2,MIA 30,Jason Myers 48 yard field goal good,3,6,1.500,3.000
2,0:20,,,NYJ 35,Jason Myers kicks off 74 yards returned by Senorise Perry for 24 yards (tackle by Jordan Jenkins),3,6,0.000,0.220
2,0:15,1,10,MIA 15,Brock Osweiler kneels for -1 yards,3,6,-0.220,-0.820
3,15:00,,,MIA 35,Jason Sanders kicks off 65 yards touchback,3,6,0.000,-0.610
3,15:00,1,10,NYJ 25,Isaiah Crowell right guard for 7 yards (tackle by Bobby McCain),3,6,0.610,1.010
3,14:25,2,3,NYJ 32,Isaiah Crowell right guard for 4 yards (tackle by Jerome Baker),3,6,1.010,1.330
3,13:39,,,,Timeout #1 by New York Jets,3,6,,
3,13:39,1,10,NYJ 36,Isaiah Crowell right guard for 2 yards (tackle by Davon Godchaux and Cameron Wake),3,6,1.330,1.060
3,13:02,2,8,NYJ 38,Sam Darnold pass complete short left to Robby Anderson for 17 yards (tackle by Xavien Howard),3,6,1.060,2.590
3,12:24,1,10,MIA 45,Isaiah Crowell right end for 4 yards (tackle by Kiko Alonso and Raekwon McMillan),3,6,2.590,2.580
3,11:45,2,6,MIA 41,Elijah McGuire middle for -2 yards (tackle by Raekwon McMillan),3,6,2.580,1.620
3,11:01,3,8,MIA 43,Sam Darnold pass incomplete short right intended for Jermaine Kearse,3,6,1.620,0.400
3,10:58,4,8,MIA 43,Lac Edwards punts 35 yards fair catch by Danny Amendola,3,6,0.400,0.380
3,10:51,1,10,MIA 8,Frank Gore left guard for 7 yards (tackle by Avery Williamson),3,6,-0.380,-0.210
3,10:21,2,3,MIA 15,Frank Gore left guard for 2 yards (tackle by Avery Williamson and Darron Lee),3,6,-0.210,-0.370
