Quarter,Time,Down,ToGo,Location,Detail,KAN,CLE,EPB,EPA
2,10:17,1,10,CLE 49,Nick Chubb right tackle for 4 yards (tackle by Dee Ford),14,3,2.190,2.190
2,9:36,2,6,KAN 47,Nick Chubb left tackle for 1 yard (tackle by Allen Bailey and Derrick Nnadi),14,3,2.190,1.620
2,8:56,3,5,KAN 46,Baker Mayfield pass complete short left to Duke Johnson for 3 yards (tackle by Eric Murray),14,3,1.620,0.400
2,8:08,4,2,KAN 43,Baker Mayfield pass complete short left to Duke Johnson for 23 yards (tackle by Eric Murray),14,3,0.400,4.240
2,7:37,1,10,KAN 20,Baker Mayfield pass complete short left to Nick Chubb for 5 yards (tackle by Anthony Hitchens),14,3,4.240,4.450
2,7:04,2,5,KAN 15,Nick Chubb right tackle for 12 yards (tackle by Ron Parker),14,3,4.450,6.510
2,6:33,1,3,KAN 3,Nick Chubb left guard for 3 yards touchdown,14,9,6.510,7.000
2,6:29,,,KAN 2,Two Point Attempt: Baker Mayfield pass incomplete intended for Damion Ratley conversion fails,14,9,0.000,-1.000
2,6:29,,,CLE 35,Greg Joseph kicks off 65 yards touchback,14,9,0.000,-0.610
2,6:29,1,10,KAN 25,Patrick Mahomes pass complete short right to Sammy Watkins for 19 yards (tackle by Christian Kirksey),14,9,0.610,1.860
2,5:46,1,10,KAN 44,Patrick Mahomes pass complete deep right to Tyreek Hill for 40 yards (tackle by T.J. Carrie and Jabrill Peppers),14,9,1.860,4.510
2,4:59,1,10,CLE 16,Penalty on KAN: Delay of Game 5 yards (no play),14,9,4.510,4.170
2,4:54,1,15,CLE 21,Patrick Mahomes pass complete short left to Tyreek Hill for 8 yards (tackle by Jamie Collins),14,9,4.170,4.390
2,4:12,2,7,CLE 13,Patrick Mahomes sacked by Derrick Kindred for -2 yards. Penalty on Mitchell Schwartz: Offensive Holding 10 yards (no play),14,9,4.390,3.010
2,3:48,2,17,CLE 23,Patrick Mahomes pass complete short middle to Tyreek Hill for 13 yards (tackle by Jamie Collins),14,9,3.010,4.170
