Quarter,Time,Down,ToGo,Location,Detail,HOU,NYJ,EPB,EPA
2,10:47,2,4,NYJ 41,Sam Darnold pass incomplete short right intended for Jermaine Kearse,6,3,1.530,0.830
2,10:42,3,4,NYJ 41,Sam Darnold pass complete short left to Trenton Cannon for 10 yards (tackle by Shareece Wright and Benardrick McKinney),6,3,0.830,2.320
2,10:00,1,10,HTX 49,Elijah McGuire left tackle for 3 yards (tackle by Kareem Jackson). Penalty on Robby Anderson: Illegal Block Above the Waist 10 yards,6,3,2.320,1.860
2,9:32,1,17,NYJ 44,Sam Darnold pass complete short left to Eric Tomlinson for 11 yards (tackle by Whitney Mercilus). Penalty on Christopher Herndon: Illegal Block Above the Waist 10 yards,6,3,1.860,1.930
2,9:01,1,16,NYJ 45,Elijah McGuire middle for no gain (tackle by J.J. Watt). Elijah McGuire fumbles (forced by J.J. Watt) recovered by Angelo Blackson at NYJ-46 (tackle by Brian Winters),6,3,1.930,-2.520
2,8:54,1,10,NYJ 46,Alfred Blue left end for 1 yard (tackle by Mike Pennel),6,3,2.520,2.110
2,8:22,2,9,NYJ 45,Deshaun Watson pass complete deep middle to DeAndre Hopkins for 45 yards touchdown,12,3,2.110,7.000
2,8:14,,,NYJ 15,Ka'imi Fairbairn kicks extra point good,13,3,0.000,0.000
2,8:14,,,HTX 35,Ka'imi Fairbairn kicks off 65 yards touchback,13,3,0.000,-0.610
2,8:14,1,10,NYJ 25,Trenton Cannon middle for 1 yard (tackle by D.J. Reader and Zach Cunningham),13,3,0.610,0.200
2,7:39,2,9,NYJ 26,Sam Darnold pass complete short right to Jermaine Kearse for 4 yards (tackle by Tyrann Mathieu),13,3,0.200,0.040
2,6:56,3,5,NYJ 30,Sam Darnold pass incomplete deep right intended for Andre Roberts,13,3,0.040,-1.370
2,6:52,4,5,NYJ 30,Lac Edwards punts 54 yards returned by DeAndre Carter for 15 yards (tackle by Eric Tomlinson),13,3,-1.370,-1.000
2,6:40,1,10,HTX 31,Deshaun Watson pass complete short right to Demaryius Thomas for 27 yards (tackle by Darryl Roberts),13,3,1.000,2.790
2,6:04,1,10,NYJ 42,DeAndre Carter right end for 7 yards (tackle by Leonard Williams and Steve McLendon),13,3,2.790,3.190
2,5:28,,,,Timeout #2 by New York Jets,13,3,,
2,5:28,2,3,NYJ 35,Alfred Blue middle for no gain (tackle by Brandon Copeland and Avery Williamson),13,3,3.190,2.480
2,4:49,3,3,NYJ 35,Deshaun Watson pass incomplete. Penalty on HOU: Illegal Shift (Declined),13,3,2.480,0.990
2,4:39,4,3,NYJ 35,Ka'imi Fairbairn 53 yard field goal good,16,3,0.990,3.000
2,4:35,,,HTX 35,Ka'imi Fairbairn kicks off 62 yards returned by Andre Roberts for 14 yards (tackle by Gregory Howell),16,3,0.000,0.060
2,4:30,1,10,NYJ 17,Elijah McGuire middle for 6 yards (tackle by Zach Cunningham and Andre Hal),16,3,-0.060,0.350
2,4:01,2,4,NYJ 23,Elijah McGuire middle for 1 yard (tackle by D.J. Reader and Whitney Mercilus),16,3,0.350,-0.370
2,3:18,3,3,NYJ 24,Sam Darnold right end for 10 yards (tackle by Justin Reid),16,3,-0.370,1.200
2,2:36,1,10,NYJ 34,Sam Darnold pass complete deep left to Christopher Herndon for 16 yards (tackle by Justin Reid),16,3,1.200,2.260
2,2:00,1,10,50,Sam Darnold pass complete short right to Elijah McGuire for 4 yards (tackle by Dylan Cole),16,3,2.260,2.250
2,1:54,2,6,HTX 46,Sam Darnold pass complete short right to Christopher Herndon for 12 yards (tackle by Whitney Mercilus),16,3,2.250,3.310
2,1:31,1,10,HTX 34,Penalty on Brandon Shell: False Start 5 yards (no play),16,3,3.310,2.980
