Quarter,Time,Down,ToGo,Location,Detail,CLE,DEN,EPB,EPA
2,11:03,1,10,CLE 41,Case Keenum pass complete short left to Courtland Sutton for 9 yards (tackle by T.J. Carrie),7,7,2.850,3.520
2,10:23,2,1,CLE 32,Case Keenum pass complete short right to Andre Holmes for 5 yards (tackle by Terrance Mitchell),7,7,3.520,3.780
2,9:47,1,10,CLE 27,Phillip Lindsay right tackle for -2 yards (tackle by Brian Price),7,7,3.780,2.960
2,9:11,2,12,CLE 29,Case Keenum pass complete short left to Tim Patrick for 3 yards (tackle by Genard Avery),7,7,2.960,2.680
2,8:26,3,9,CLE 26,Case Keenum pass incomplete short left intended for Devontae Booker,7,7,2.680,1.740
2,8:21,4,9,CLE 26,Brandon McManus 44 yard field goal good,7,10,1.740,3.000
2,8:16,,,DEN 35,Brandon McManus kicks off 65 yards touchback,7,10,0.000,-0.610
2,8:16,1,10,CLE 25,Baker Mayfield pass incomplete. Penalty on Domata Peko: Defensive Holding 5 yards (no play),7,10,0.610,0.940
2,8:11,1,10,CLE 30,Nick Chubb left tackle for 12 yards (tackle by Shelby Harris),7,10,0.940,1.730
2,7:34,1,10,CLE 42,Baker Mayfield pass complete short right to Rashard Higgins for 11 yards (tackle by Justin Simmons),7,10,1.730,2.460
2,6:57,1,10,DEN 47,Duke Johnson right guard for 15 yards (tackle by Demaryius Thomas and Darian Stewart),7,10,2.460,3.450
2,6:16,1,10,DEN 32,Baker Mayfield pass incomplete short right intended for Darren Fells (defended by Todd Davis). Penalty on Todd Davis: Defensive Holding 5 yards (no play),7,10,3.450,3.780
2,6:10,1,10,DEN 27,Baker Mayfield pass incomplete short right intended for Jarvis Landry,7,10,3.780,3.230
2,6:04,2,10,DEN 27,Baker Mayfield pass incomplete deep right intended for Breshad Perriman (defended by Tramaine Brock),7,10,3.230,2.540
2,5:59,3,10,DEN 27,Baker Mayfield sacked by Bradley Chubb for -10 yards. Penalty on Justin Simmons: Defensive Holding 5 yards (no play),7,10,2.540,4.110
2,5:51,1,10,DEN 22,Nick Chubb middle for no gain (tackle by Josey Jewell),7,10,4.110,3.560
2,5:07,2,10,DEN 22,Baker Mayfield pass incomplete deep left intended for David Njoku,7,10,3.560,2.870
2,5:02,3,10,DEN 22,Baker Mayfield pass incomplete short right intended for Jarvis Landry (defended by Zach Kerr),7,10,2.870,1.990
2,4:57,4,10,DEN 22,Greg Joseph 40 yard field goal good,10,10,1.990,3.000
2,4:53,,,CLE 35,Greg Joseph kicks off 66 yards returned by Devontae Booker for 35 yards (tackle by Ray-Ray Armstrong),10,10,0.000,-1.200
2,4:45,1,10,DEN 34,Case Keenum pass complete short middle to DaeSean Hamilton for 14 yards (tackle by Joe Schobert),10,10,1.200,2.130
2,4:07,1,10,DEN 48,Royce Freeman middle for 2 yards (tackle by Larry Ogunjobi and Joe Schobert),10,10,2.130,1.850
2,3:25,2,8,50,Case Keenum pass complete short left to Matt LaCosse for 8 yards (tackle by Jabrill Peppers),10,10,1.850,2.790
2,2:42,1,10,CLE 42,Case Keenum pass complete short left to Courtland Sutton for 13 yards (tackle by T.J. Carrie),10,10,2.790,3.640
2,2:03,1,10,CLE 29,Case Keenum pass incomplete short right intended for Tim Patrick,10,10,3.640,3.100
2,1:56,2,10,CLE 29,Case Keenum pass incomplete short right intended for Matt LaCosse (defended by Terrance Mitchell),10,10,3.100,2.410
2,1:50,3,10,CLE 29,Case Keenum pass incomplete deep left intended for Courtland Sutton is intercepted by Jabrill Peppers at CLE-0,10,10,2.410,-0.280
2,1:41,1,10,CLE 20,Duke Johnson middle for 1 yard (tackle by Bradley Chubb and Derek Wolfe),10,10,0.280,-0.130
2,1:38,,,,Timeout #1 by Denver Broncos,10,10,,
2,1:37,2,9,CLE 21,Baker Mayfield pass incomplete short left intended for Jarvis Landry (defended by Adam Gotsis),10,10,-0.130,-0.820
2,1:35,3,9,CLE 21,Baker Mayfield pass complete short left to Duke Johnson for 4 yards (tackle by Brandon Marshall),10,10,-0.820,-1.700
2,1:28,,,,Timeout #2 by Denver Broncos,10,10,,
2,1:26,4,5,CLE 25,Britton Colquitt punts 52 yards returned by River Cracraft for 7 yards (tackle by Tavierre Thomas). Penalty on Keishawn Bierria: Offensive Holding 10 yards,10,10,-1.700,0.320
2,1:17,1,10,DEN 13,Case Keenum pass complete short left to DaeSean Hamilton for 4 yards,10,10,-0.320,-0.300
2,1:12,2,6,DEN 17,Case Keenum pass incomplete short right intended for Tim Patrick (defended by Terrance Mitchell),10,10,-0.300,-0.940
2,1:08,3,6,DEN 17,Case Keenum pass incomplete,10,10,-0.940,-2.320
2,1:01,4,6,DEN 17,Colby Wadman punts 46 yards returned by Jabrill Peppers for 8 yards (tackle by River Cracraft),10,10,-2.320,-1.930
2,0:47,1,10,CLE 45,Duke Johnson left guard for 4 yards (tackle by Bradley Chubb),10,10,1.930,1.920
2,0:41,,,,Timeout #1 by Cleveland Browns,10,10,,
2,0:41,2,6,CLE 49,Baker Mayfield pass complete short right to Duke Johnson for 10 yards,10,10,1.920,2.850
2,0:34,1,10,DEN 41,Baker Mayfield pass complete short left to Antonio Callaway for 11 yards (tackle by Bradley Roby),10,10,2.850,3.580
2,0:26,,,,Timeout #2 by Cleveland Browns,10,10,,
2,0:26,1,10,DEN 30,Baker Mayfield pass incomplete deep right intended for Jarvis Landry is intercepted by Demaryius Thomas at DEN-2,10,10,3.580,0.380
2,0:18,1,10,DEN 2,Case Keenum kneels for no gain,10,10,-0.380,-0.780
3,15:00,,,DEN 35,Brandon McManus kicks off 65 yards returned by Jabrill Peppers for 17 yards (tackle by Joseph Jones),10,10,0.000,0.060
3,14:55,1,10,CLE 17,Nick Chubb right tackle for 4 yards (tackle by Adam Gotsis),10,10,-0.060,0.080
3,14:19,2,6,CLE 21,Nick Chubb right tackle for 4 yards (tackle by Adam Gotsis and Todd Davis),10,10,0.080,-0.240
3,13:39,3,2,CLE 25,Baker Mayfield pass complete short left to Duke Johnson for 5 yards (tackle by Bradley Roby and Justin Simmons),10,10,-0.240,0.940
3,13:00,1,10,CLE 30,Baker Mayfield pass complete short left to Antonio Callaway for 5 yards (tackle by Bradley Roby),10,10,0.940,1.070
3,12:22,2,5,CLE 35,Nick Chubb middle for 4 yards (tackle by Bradley Chubb and Todd Davis),10,10,1.070,0.890
3,11:39,3,1,CLE 39,Baker Mayfield left end for 3 yards (tackle by Jeff Holland and Josey Jewell),10,10,0.890,1.730
3,10:55,1,10,CLE 42,Baker Mayfield pass complete short right to Antonio Callaway for 5 yards,10,10,1.730,1.860
3,10:21,2,5,CLE 47,Nick Chubb middle for 4 yards (tackle by Brandon Marshall and Justin Simmons),10,10,1.860,1.690
3,9:36,3,1,DEN 49,Baker Mayfield pass complete short left to Antonio Callaway for 12 yards (tackle by Bradley Roby). Penalty on Antonio Callaway: Taunting 15 yards,10,10,1.690,2.130
3,9:02,1,10,CLE 48,Nick Chubb middle for 1 yard (tackle by Zach Kerr),10,10,2.130,1.720
3,8:30,2,9,CLE 49,Baker Mayfield pass complete short left to Duke Johnson for 6 yards (tackle by Shelby Harris),10,10,1.720,1.820
3,7:47,3,3,DEN 45,Baker Mayfield pass incomplete deep right intended for Rashard Higgins,10,10,1.820,0.270
3,7:42,4,3,DEN 45,Baker Mayfield pass complete short right to David Njoku for 5 yards (tackle by Will Parks). Penalty on Will Parks: Defensive Holding (Declined),10,10,0.270,2.920
3,7:13,1,10,DEN 40,Baker Mayfield pass incomplete short middle intended for Jarvis Landry. Penalty on Darian Stewart: Defensive Holding (Offsetting) Penalty on Darren Fells: Offensive Holding (Offsetting) (no play),10,10,2.920,2.920
3,7:08,1,10,DEN 40,Baker Mayfield pass complete short middle to Breshad Perriman for 4 yards (tackle by Josey Jewell). Penalty on Breshad Perriman: Illegal Shift 5 yards (no play),10,10,2.920,2.590
3,6:41,1,15,DEN 45,Baker Mayfield right end for 9 yards (tackle by Domata Peko),10,10,2.590,2.910
3,5:54,2,6,DEN 36,Baker Mayfield sacked by Adam Gotsis for -7 yards. Baker Mayfield fumbles (forced by Adam Gotsis) recovered by Derek Wolfe at DEN-40 (tackle by J.C. Tretter),10,10,2.910,-1.600
3,5:49,1,10,DEN 40,Case Keenum pass incomplete,10,10,1.600,1.050
3,5:44,2,10,DEN 40,Case Keenum pass complete short right to Tim Patrick for 24 yards (tackle by Terrance Mitchell),10,10,1.050,3.180
3,5:03,1,10,CLE 36,Case Keenum pass complete short right to Phillip Lindsay for 7 yards (tackle by Briean Boddy-Calhoun),10,10,3.180,3.580
3,4:24,2,3,CLE 29,Phillip Lindsay middle for 3 yards (tackle by Emmanuel Ogbah),10,10,3.580,3.840
3,3:45,1,10,CLE 26,Phillip Lindsay right guard for no gain (tackle by Larry Ogunjobi),10,10,3.840,3.300
3,3:06,2,10,CLE 26,Case Keenum pass complete short left to Brian Parker for -2 yards (tackle by T.J. Carrie and Larry Ogunjobi). Penalty on Myles Garrett: Defensive Offside 5 yards (no play),10,10,3.300,3.970
3,2:34,2,5,CLE 21,Case Keenum pass complete short left to DaeSean Hamilton for -3 yards (tackle by Jabrill Peppers),10,10,3.970,2.870
3,1:50,3,8,CLE 24,Case Keenum pass incomplete short right intended for Tim Patrick,10,10,2.870,1.870
3,1:45,4,8,CLE 24,Brandon McManus 42 yard field goal good,10,13,1.870,3.000
3,1:41,,,DEN 35,Brandon McManus kicks off 65 yards touchback,10,13,0.000,-0.610
3,1:41,1,10,CLE 25,Nick Chubb left tackle for 3 yards (tackle by Bradley Roby and Justin Simmons). Penalty on Greg Robinson: Offensive Holding 10 yards,10,13,0.610,-0.010
3,0:50,1,17,CLE 18,Baker Mayfield pass incomplete short left intended for Nick Chubb,10,13,-0.010,-0.980
3,0:46,2,17,CLE 18,Nick Chubb middle for 3 yards (tackle by Brandon Marshall and Will Parks). Penalty on Jamar Taylor: Disqualification (Offsetting) Penalty on Breshad Perriman: Taunting (Offsetting),10,13,-0.980,-1.150
3,0:32,,,,Timeout #1 by Denver Broncos,10,13,,
3,0:32,3,14,CLE 21,Baker Mayfield sacked by Von Miller for -9 yards,10,13,-1.150,-2.490
4,15:00,4,23,CLE 12,Britton Colquitt punts 56 yards returned by River Cracraft for -2 yards (tackle by Tavierre Thomas). Penalty on Will Parks: Illegal Block Above the Waist 10 yards,10,13,-2.490,-0.280
4,14:49,1,10,DEN 20,Case Keenum pass incomplete deep left intended for DaeSean Hamilton is intercepted by T.J. Carrie at DEN-48,10,13,0.280,-2.390
4,14:41,1,10,DEN 48,Baker Mayfield pass complete short right to Jarvis Landry for 12 yards (tackle by Tramaine Brock),10,13,2.390,3.180
4,14:08,1,10,DEN 36,Nick Chubb right guard for 1 yard (tackle by Jeff Holland and Josey Jewell),10,13,3.180,2.770
4,13:29,2,9,DEN 35,Baker Mayfield pass complete deep left to Rashard Higgins for 19 yards,10,13,2.770,4.510
4,13:05,1,10,DEN 16,Duke Johnson middle for 8 yards (tackle by Justin Simmons),10,13,4.510,5.350
4,12:34,2,2,DEN 8,Baker Mayfield pass complete short right to Jarvis Landry for 6 yards (tackle by Brandon Marshall and Demaryius Thomas),10,13,5.350,6.740
4,11:49,1,2,DEN 2,Baker Mayfield pass complete short left to Antonio Callaway for 2 yards touchdown,16,13,6.740,7.000
4,11:44,,,DEN 15,Greg Joseph kicks extra point good,17,13,0.000,0.000
4,11:44,,,CLE 35,Greg Joseph kicks off 65 yards touchback,17,13,0.000,-0.610
4,11:44,1,10,DEN 25,Phillip Lindsay middle for -1 yards (tackle by Trevon Coley and Anthony Zettel),17,13,0.610,-0.070
4,11:08,2,11,DEN 24,Case Keenum pass complete short right to Tim Patrick for 12 yards (tackle by Terrance Mitchell),17,13,-0.070,1.330
4,10:31,1,10,DEN 36,Phillip Lindsay middle for 3 yards (tackle by Joe Schobert and Tanner Vallejo),17,13,1.330,1.200
4,9:54,2,7,DEN 39,Case Keenum pass complete short middle to Phillip Lindsay for 16 yards (tackle by Jamie Collins),17,13,1.200,2.590
4,9:09,1,10,CLE 45,Royce Freeman right guard for 6 yards (tackle by Terrance Mitchell),17,13,2.590,2.850
4,8:30,2,4,CLE 39,Case Keenum pass complete short right to DaeSean Hamilton for 14 yards (tackle by Terrance Mitchell),17,13,2.850,3.910
4,7:55,1,10,CLE 25,Case Keenum pass complete short right to Royce Freeman for 1 yard (tackle by Jamie Collins),17,13,3.910,3.500
4,7:12,2,9,CLE 24,Case Keenum pass incomplete deep left intended for DaeSean Hamilton,17,13,3.500,2.810
4,7:07,3,9,CLE 24,Case Keenum pass complete short left to DaeSean Hamilton for 8 yards (tackle by T.J. Carrie),17,13,2.810,4.580
,,,,,DEN challenged the short of the line to gain ruling and the play was overturned. Case Keenum pass complete short left to DaeSean Hamilton for 9 yards (tackle by T.J. Carrie),,,,
4,6:51,1,10,CLE 15,Phillip Lindsay right end for 7 yards (tackle by Joe Schobert),17,13,4.580,5.220
4,6:16,2,3,CLE 8,Phillip Lindsay middle for 2 yards (tackle by Emmanuel Ogbah),17,13,5.220,4.900
4,5:29,3,1,CLE 6,Phillip Lindsay left end for no gain (tackle by Trevon Coley),17,13,4.900,3.020
4,5:29,4,1,CLE 6,Penalty on DEN: Delay of Game 5 yards (no play),17,13,3.020,2.720
4,4:39,4,6,CLE 11,Brandon McManus 29 yard field goal good,17,16,2.720,3.000
4,4:35,,,DEN 35,Brandon McManus kicks off 65 yards touchback,17,16,0.000,-0.610
4,4:35,1,10,CLE 25,Nick Chubb left tackle for 40 yards (tackle by Justin Simmons),17,16,0.610,3.250
4,3:47,1,10,DEN 35,Nick Chubb right guard for 2 yards (tackle by Adam Gotsis and Domata Peko),17,16,3.250,2.970
4,3:42,,,,Timeout #2 by Denver Broncos,17,16,,
4,3:42,2,8,DEN 33,Nick Chubb middle for 2 yards (tackle by Domata Peko). Penalty on DEN: Defensive Too Many Men on Field 5 yards (no play),17,16,2.970,3.650
4,3:38,2,3,DEN 28,Nick Chubb left end for 9 yards (tackle by Will Parks and Josey Jewell),17,16,3.650,4.310
4,2:51,1,10,DEN 19,Nick Chubb right tackle for 3 yards (tackle by Will Parks),17,16,4.310,4.180
4,2:09,2,7,DEN 16,Nick Chubb left guard for 1 yard (tackle by Domata Peko and Adam Gotsis),17,16,4.180,3.580
4,2:00,3,6,DEN 15,Baker Mayfield pass complete short left to David Njoku for 5 yards (tackle by Justin Simmons),17,16,3.580,2.910
4,1:53,,,,Timeout #3 by Denver Broncos,17,16,,
4,1:53,,,,Timeout #1 by Cleveland Browns,17,16,,
4,1:53,4,1,DEN 10,Nick Chubb right guard for -2 yards (tackle by Adam Gotsis),17,16,2.910,0.320
4,1:49,1,10,DEN 13,Case Keenum pass complete short right to Matt LaCosse for 14 yards (tackle by Jabrill Peppers). Penalty on Myles Garrett: Defensive Offside (Declined),17,16,-0.320,0.740
4,1:42,1,10,DEN 27,Case Keenum pass complete short left to DaeSean Hamilton for 8 yards (tackle by Briean Boddy-Calhoun),17,16,0.740,1.280
4,1:37,2,2,DEN 35,Case Keenum pass incomplete deep left intended for DaeSean Hamilton,17,16,1.280,0.560
4,1:32,3,2,DEN 35,Case Keenum pass complete short right to DaeSean Hamilton for no gain,17,16,0.560,-1.040
4,1:12,4,2,DEN 35,Case Keenum pass complete short left to Devontae Booker for 15 yards (tackle by Genard Avery),17,16,-1.040,2.260
4,0:52,1,10,50,Case Keenum spiked the ball,17,16,2.260,1.710
4,0:52,2,10,50,Case Keenum pass incomplete short middle intended for Matt LaCosse,17,16,1.710,1.030
4,0:49,3,10,50,Case Keenum pass incomplete short right intended for DaeSean Hamilton,17,16,1.030,-0.060
4,0:43,4,10,50,Case Keenum sacked by Jabrill Peppers for -11 yards,17,16,-0.060,-2.980
4,0:39,1,10,DEN 39,Baker Mayfield kneels for -1 yards,17,16,2.980,2.300
