Quarter,Time,Down,ToGo,Location,Detail,NYJ,CLE,EPB,EPA
2,12:09,2,2,CLE 41,Bilal Powell left tackle for 8 yards (tackle by Larry Ogunjobi),7,0,2.860,3.380
2,11:27,1,10,CLE 33,Isaiah Crowell left end for 8 yards (tackle by Joe Schobert),7,0,3.380,3.920
2,10:55,2,2,CLE 25,Isaiah Crowell left tackle for -2 yards (tackle by Larry Ogunjobi),7,0,3.920,2.940
2,10:10,3,4,CLE 27,Sam Darnold pass complete short right to Quincy Enunwa for 16 yards (tackle by Trevon Coley),7,0,2.940,4.840
2,9:26,1,10,CLE 11,Isaiah Crowell left end for 6 yards (tackle by Terrance Mitchell),7,0,4.840,5.280
2,8:42,2,4,CLE 5,Isaiah Crowell right guard for 3 yards (tackle by Joe Schobert),7,0,5.280,5.120
2,7:59,3,1,CLE 2,Isaiah Crowell left end for 2 yards touchdown. Penalty on Isaiah Crowell: Unsportsmanlike Conduct 15 yards,13,0,5.120,7.000
2,7:54,,,CLE 15,Jason Myers kicks extra point good,14,0,0.000,0.000
2,7:54,,,NYJ 20,Jason Myers kicks off 73 yards returned by T.J. Carrie for 19 yards (tackle by Neville Hewitt),14,0,0.000,-0.670
2,7:49,1,10,CLE 26,Tyrod Taylor pass complete short left to Carlos Hyde for no gain,14,0,0.670,0.130
2,7:11,2,10,CLE 26,Tyrod Taylor pass incomplete short right intended for Antonio Callaway,14,0,0.130,-0.560
2,7:06,3,10,CLE 26,Tyrod Taylor pass incomplete short right intended for Jarvis Landry. Penalty on Trumaine Johnson: Unsportsmanlike Conduct 15 yards,14,0,-0.560,1.660
2,7:00,1,10,CLE 41,Nick Chubb right tackle for no gain (tackle by Nathan Shepherd and Henry Anderson),14,0,1.660,1.120
2,6:27,2,10,CLE 41,Tyrod Taylor right end for 9 yards (tackle by Trumaine Johnson). Penalty on J.C. Tretter: Offensive Holding (Offsetting) Penalty on Trumaine Johnson: Unnecessary Roughness (Offsetting) (no play),14,0,1.120,1.120
2,6:10,2,10,CLE 41,Carlos Hyde left guard for -2 yards (tackle by Darron Lee),14,0,1.120,0.170
2,5:30,3,12,CLE 39,Tyrod Taylor pass complete short right to Jarvis Landry for 12 yards,14,0,0.170,2.320
2,4:53,1,10,NYJ 49,Tyrod Taylor pass complete short right to Carlos Hyde for 5 yards (tackle by Darron Lee),14,0,2.320,2.460
2,4:20,2,5,NYJ 44,Carlos Hyde left guard for 11 yards (tackle by Doug Middleton),14,0,2.460,3.380
2,3:38,1,10,NYJ 33,Duke Johnson right guard for 8 yards (tackle by Avery Williamson),14,0,3.380,3.920
2,3:07,,,,Timeout #1 by Cleveland Browns,14,0,,
2,3:07,2,2,NYJ 25,Tyrod Taylor pass incomplete. Penalty on Tyrod Taylor: Intentional Grounding 10 yards,14,0,3.920,1.880
2,3:01,3,12,NYJ 35,Tyrod Taylor sacked by Avery Williamson for -6 yards. Penalty on Chris Hubbard: Offensive Holding (Declined),14,0,1.880,0.530
2,2:55,4,18,NYJ 41,Britton Colquitt punts 32 yards,14,0,0.530,0.380
2,2:45,1,10,NYJ 9,Bilal Powell left end for -2 yards (tackle by James Burgess),14,0,-0.380,-0.930
2,2:00,2,12,NYJ 7,Isaiah Crowell right guard for -2 yards (tackle by Chris Smith). Penalty on Spencer Long: Offensive Holding (Declined),14,0,-0.930,-1.890
2,1:54,3,14,NYJ 5,Isaiah Crowell left tackle for 1 yard (tackle by Myles Garrett),14,0,-1.890,-2.490
2,1:49,,,,Timeout #2 by Cleveland Browns,14,0,,
2,1:49,4,13,NYJ 6,Lac Edwards punts 50 yards fair catch by Jarvis Landry. Penalty on T.J. Carrie: Offensive Holding 10 yards,14,0,-2.490,-1.200
